bridge_id,segment_id,segment_name,priority,evidence_score,core_job,primary_markets,source_signal_kind,matched_community_signal_rows,total_segment_community_rows,top_signal_sources,recruiting_channel_hypothesis,screener_question,qualifying_signal,disqualifying_signal,prototype_prompt,wtp_probe,evidence_to_capture,linked_tests,ethical_constraint
"ICP_C_CH_SOCIAL_PROOF","ICP_C","Anxious daily reset users","P1_compare","9","Calm down quickly and return to the day with one manageable next step.","mindfulness|coaching","social_platform_discovery","10","145","Yoga International:4|Cozy Mahjong:1|Unplug: Meditation:1|Myla : Manifest & Vision Board:1|ZOE Health: AI Meal Tracker:1","Social platform discovery or creator/community mention","In the last 30 days, which apps, rituals, journals, coaches, avatars, or reset tools did you actually use for this job: Calm down quickly and return to the day with one manageable next step.","Participant names a recent tool/use moment in mindfulness|coaching and can describe the trigger without being led.","Participant only likes the idea abstractly, cannot name recent behavior, or is outside the target market for the last 90 days.","Show the two-minute loop and ask what changed, what caused it, and whether the participant would return tomorrow.","What are you paying for now in mindfulness|coaching, and which paid-depth feature would make this worth paying for after one free loop?","recent_behavior_match|specific_episode|current_tool|verbatim_language|loop_comprehension|meaning_lift_1_5|differentiation_1_5|return_intent_1_5|paid_depth_feature|fatal_objection","ICP_C_T01|ICP_C_T02|ICP_C_T03|ICP_C_T05|ICP_C_T06","Use public posts only as channel hypotheses; do not harvest identities from reviews."
"ICP_C_CH_FORUM_LANGUAGE","ICP_C","Anxious daily reset users","P1_compare","9","Calm down quickly and return to the day with one manageable next step.","mindfulness|coaching","coded_forum_need_or_competitor_context","46","145","FORUM-005:4|FORUM-006:4|FORUM-007:4|FORUM-008:4|FORUM-009:4","Forum-language recruiting using exact problem wording from coded snippets","In the last 30 days, which apps, rituals, journals, coaches, avatars, or reset tools did you actually use for this job: Calm down quickly and return to the day with one manageable next step.","Participant names a recent tool/use moment in mindfulness|coaching and can describe the trigger without being led.","Participant only likes the idea abstractly, cannot name recent behavior, or is outside the target market for the last 90 days.","Show the two-minute loop and ask what changed, what caused it, and whether the participant would return tomorrow.","What are you paying for now in mindfulness|coaching, and which paid-depth feature would make this worth paying for after one free loop?","recent_behavior_match|specific_episode|current_tool|verbatim_language|loop_comprehension|meaning_lift_1_5|differentiation_1_5|return_intent_1_5|paid_depth_feature|fatal_objection","ICP_C_T01|ICP_C_T02|ICP_C_T03|ICP_C_T05|ICP_C_T06","Use forum evidence for language and problem framing; recruit only through allowed public or owned channels."
"ICP_E_CH_REFERRAL","ICP_E","Cozy/casual progression users","P1_compare","9","Return because progress feels gentle, visible, and emotionally rewarding.","gaming|avatar_identity","word_of_mouth_or_personal_recommendation","32","100","Eylo: AI Weight Loss Coach:12|Cozy Mahjong:5|Life Guidance and Inspiration:2|Daily Burn: Workout Coach:2|Zing AI: Home & Gym Workouts:2","Warm referral or friend-of-user intro","In the last 30 days, which apps, rituals, journals, coaches, avatars, or reset tools did you actually use for this job: Return because progress feels gentle, visible, and emotionally rewarding.","Participant names a recent tool/use moment in gaming|avatar_identity and can describe the trigger without being led.","Participant only likes the idea abstractly, cannot name recent behavior, or is outside the target market for the last 90 days.","Show the two-minute loop and ask what changed, what caused it, and whether the participant would return tomorrow.","What are you paying for now in gaming|avatar_identity, and which paid-depth feature would make this worth paying for after one free loop?","recent_behavior_match|specific_episode|current_tool|verbatim_language|loop_comprehension|meaning_lift_1_5|differentiation_1_5|return_intent_1_5|paid_depth_feature|fatal_objection","ICP_E_T01|ICP_E_T02|ICP_E_T03|ICP_E_T05|ICP_E_T06","Ask for opt-in intros only; no pretending to be a user or scraping private communities."
"ICP_E_CH_COMMUNITY","ICP_E","Cozy/casual progression users","P1_compare","9","Return because progress feels gentle, visible, and emotionally rewarding.","gaming|avatar_identity","community_or_accountability_need","32","100","Cozy Mahjong:6|Motivate: Daily Motivation:5|Daily Burn: Workout Coach:3|Zing AI: Home & Gym Workouts:3|Daily Yoga: Yoga for Fitness®:3","Relevant community thread, Discord, forum, or group where users already discuss the job","In the last 30 days, which apps, rituals, journals, coaches, avatars, or reset tools did you actually use for this job: Return because progress feels gentle, visible, and emotionally rewarding.","Participant names a recent tool/use moment in gaming|avatar_identity and can describe the trigger without being led.","Participant only likes the idea abstractly, cannot name recent behavior, or is outside the target market for the last 90 days.","Show the two-minute loop and ask what changed, what caused it, and whether the participant would return tomorrow.","What are you paying for now in gaming|avatar_identity, and which paid-depth feature would make this worth paying for after one free loop?","recent_behavior_match|specific_episode|current_tool|verbatim_language|loop_comprehension|meaning_lift_1_5|differentiation_1_5|return_intent_1_5|paid_depth_feature|fatal_objection","ICP_E_T01|ICP_E_T02|ICP_E_T03|ICP_E_T05|ICP_E_T06","Post transparently, follow community rules, and offer a short paid or clearly voluntary research session."
"ICP_E_CH_SOCIAL_PROOF","ICP_E","Cozy/casual progression users","P1_compare","9","Return because progress feels gentle, visible, and emotionally rewarding.","gaming|avatar_identity","social_platform_discovery","8","100","Yoga International:4|Cozy Mahjong:1|Unplug: Meditation:1|ZOE Health: AI Meal Tracker:1|Motivate: Daily Motivation:1","Social platform discovery or creator/community mention","In the last 30 days, which apps, rituals, journals, coaches, avatars, or reset tools did you actually use for this job: Return because progress feels gentle, visible, and emotionally rewarding.","Participant names a recent tool/use moment in gaming|avatar_identity and can describe the trigger without being led.","Participant only likes the idea abstractly, cannot name recent behavior, or is outside the target market for the last 90 days.","Show the two-minute loop and ask what changed, what caused it, and whether the participant would return tomorrow.","What are you paying for now in gaming|avatar_identity, and which paid-depth feature would make this worth paying for after one free loop?","recent_behavior_match|specific_episode|current_tool|verbatim_language|loop_comprehension|meaning_lift_1_5|differentiation_1_5|return_intent_1_5|paid_depth_feature|fatal_objection","ICP_E_T01|ICP_E_T02|ICP_E_T03|ICP_E_T05|ICP_E_T06","Use public posts only as channel hypotheses; do not harvest identities from reviews."
"ICP_E_CH_FORUM_LANGUAGE","ICP_E","Cozy/casual progression users","P1_compare","9","Return because progress feels gentle, visible, and emotionally rewarding.","gaming|avatar_identity","coded_forum_need_or_competitor_context","28","100","FORUM-010:4|FORUM-013:4|FORUM-014:4|FORUM-015:4|FORUM-016:4","Forum-language recruiting using exact problem wording from coded snippets","In the last 30 days, which apps, rituals, journals, coaches, avatars, or reset tools did you actually use for this job: Return because progress feels gentle, visible, and emotionally rewarding.","Participant names a recent tool/use moment in gaming|avatar_identity and can describe the trigger without being led.","Participant only likes the idea abstractly, cannot name recent behavior, or is outside the target market for the last 90 days.","Show the two-minute loop and ask what changed, what caused it, and whether the participant would return tomorrow.","What are you paying for now in gaming|avatar_identity, and which paid-depth feature would make this worth paying for after one free loop?","recent_behavior_match|specific_episode|current_tool|verbatim_language|loop_comprehension|meaning_lift_1_5|differentiation_1_5|return_intent_1_5|paid_depth_feature|fatal_objection","ICP_E_T01|ICP_E_T02|ICP_E_T03|ICP_E_T05|ICP_E_T06","Use forum evidence for language and problem framing; recruit only through allowed public or owned channels."
"ICP_F_CH_REFERRAL","ICP_F","Coaching professionals and structured growth users","P1_compare","9","Get structured guidance that turns intention into accountable practice.","coaching","word_of_mouth_or_personal_recommendation","35","101","Eylo: AI Weight Loss Coach:12|Cozy Mahjong:5|Life Guidance and Inspiration:2|Daily Burn: Workout Coach:2|Zing AI: Home & Gym Workouts:2","Warm referral or friend-of-user intro","In the last 30 days, which apps, rituals, journals, coaches, avatars, or reset tools did you actually use for this job: Get structured guidance that turns intention into accountable practice.","Participant names a recent tool/use moment in coaching and can describe the trigger without being led.","Participant only likes the idea abstractly, cannot name recent behavior, or is outside the target market for the last 90 days.","Show the two-minute loop and ask what changed, what caused it, and whether the participant would return tomorrow.","What are you paying for now in coaching, and which paid-depth feature would make this worth paying for after one free loop?","recent_behavior_match|specific_episode|current_tool|verbatim_language|loop_comprehension|meaning_lift_1_5|differentiation_1_5|return_intent_1_5|paid_depth_feature|fatal_objection","ICP_F_T01|ICP_F_T02|ICP_F_T03|ICP_F_T05|ICP_F_T06","Ask for opt-in intros only; no pretending to be a user or scraping private communities."
"ICP_F_CH_COMMUNITY","ICP_F","Coaching professionals and structured growth users","P1_compare","9","Get structured guidance that turns intention into accountable practice.","coaching","community_or_accountability_need","38","101","Cozy Mahjong:6|Motivate: Daily Motivation:5|Pitstop: Scale Human Potential:3|Daily Burn: Workout Coach:3|Zing AI: Home & Gym Workouts:3","Relevant community thread, Discord, forum, or group where users already discuss the job","In the last 30 days, which apps, rituals, journals, coaches, avatars, or reset tools did you actually use for this job: Get structured guidance that turns intention into accountable practice.","Participant names a recent tool/use moment in coaching and can describe the trigger without being led.","Participant only likes the idea abstractly, cannot name recent behavior, or is outside the target market for the last 90 days.","Show the two-minute loop and ask what changed, what caused it, and whether the participant would return tomorrow.","What are you paying for now in coaching, and which paid-depth feature would make this worth paying for after one free loop?","recent_behavior_match|specific_episode|current_tool|verbatim_language|loop_comprehension|meaning_lift_1_5|differentiation_1_5|return_intent_1_5|paid_depth_feature|fatal_objection","ICP_F_T01|ICP_F_T02|ICP_F_T03|ICP_F_T05|ICP_F_T06","Post transparently, follow community rules, and offer a short paid or clearly voluntary research session."
"ICP_F_CH_SOCIAL_PROOF","ICP_F","Coaching professionals and structured growth users","P1_compare","9","Get structured guidance that turns intention into accountable practice.","coaching","social_platform_discovery","8","101","Yoga International:4|Cozy Mahjong:1|Unplug: Meditation:1|ZOE Health: AI Meal Tracker:1|Motivate: Daily Motivation:1","Social platform discovery or creator/community mention","In the last 30 days, which apps, rituals, journals, coaches, avatars, or reset tools did you actually use for this job: Get structured guidance that turns intention into accountable practice.","Participant names a recent tool/use moment in coaching and can describe the trigger without being led.","Participant only likes the idea abstractly, cannot name recent behavior, or is outside the target market for the last 90 days.","Show the two-minute loop and ask what changed, what caused it, and whether the participant would return tomorrow.","What are you paying for now in coaching, and which paid-depth feature would make this worth paying for after one free loop?","recent_behavior_match|specific_episode|current_tool|verbatim_language|loop_comprehension|meaning_lift_1_5|differentiation_1_5|return_intent_1_5|paid_depth_feature|fatal_objection","ICP_F_T01|ICP_F_T02|ICP_F_T03|ICP_F_T05|ICP_F_T06","Use public posts only as channel hypotheses; do not harvest identities from reviews."
"ICP_F_CH_FORUM_LANGUAGE","ICP_F","Coaching professionals and structured growth users","P1_compare","9","Get structured guidance that turns intention into accountable practice.","coaching","coded_forum_need_or_competitor_context","20","101","FORUM-008:4|FORUM-009:4|FORUM-010:4|FORUM-011:4|FORUM-012:4","Forum-language recruiting using exact problem wording from coded snippets","In the last 30 days, which apps, rituals, journals, coaches, avatars, or reset tools did you actually use for this job: Get structured guidance that turns intention into accountable practice.","Participant names a recent tool/use moment in coaching and can describe the trigger without being led.","Participant only likes the idea abstractly, cannot name recent behavior, or is outside the target market for the last 90 days.","Show the two-minute loop and ask what changed, what caused it, and whether the participant would return tomorrow.","What are you paying for now in coaching, and which paid-depth feature would make this worth paying for after one free loop?","recent_behavior_match|specific_episode|current_tool|verbatim_language|loop_comprehension|meaning_lift_1_5|differentiation_1_5|return_intent_1_5|paid_depth_feature|fatal_objection","ICP_F_T01|ICP_F_T02|ICP_F_T03|ICP_F_T05|ICP_F_T06","Use forum evidence for language and problem framing; recruit only through allowed public or owned channels."
"ICP_B_CH_REFERRAL","ICP_B","Avatar identity builders","P1_compare","8","See a version of myself change as I make progress.","avatar_identity|coaching","word_of_mouth_or_personal_recommendation","35","108","Eylo: AI Weight Loss Coach:12|Cozy Mahjong:5|Life Guidance and Inspiration:2|Daily Burn: Workout Coach:2|Zing AI: Home & Gym Workouts:2","Warm referral or friend-of-user intro","In the last 30 days, which apps, rituals, journals, coaches, avatars, or reset tools did you actually use for this job: See a version of myself change as I make progress.","Participant names a recent tool/use moment in avatar_identity|coaching and can describe the trigger without being led.","Participant only likes the idea abstractly, cannot name recent behavior, or is outside the target market for the last 90 days.","Show the two-minute loop and ask what changed, what caused it, and whether the participant would return tomorrow.","What are you paying for now in avatar_identity|coaching, and which paid-depth feature would make this worth paying for after one free loop?","recent_behavior_match|specific_episode|current_tool|verbatim_language|loop_comprehension|meaning_lift_1_5|differentiation_1_5|return_intent_1_5|paid_depth_feature|fatal_objection","ICP_B_T01|ICP_B_T02|ICP_B_T03|ICP_B_T05|ICP_B_T06","Ask for opt-in intros only; no pretending to be a user or scraping private communities."
"ICP_B_CH_COMMUNITY","ICP_B","Avatar identity builders","P1_compare","8","See a version of myself change as I make progress.","avatar_identity|coaching","community_or_accountability_need","35","108","Cozy Mahjong:6|Motivate: Daily Motivation:5|Pitstop: Scale Human Potential:3|Daily Burn: Workout Coach:3|Zing AI: Home & Gym Workouts:3","Relevant community thread, Discord, forum, or group where users already discuss the job","In the last 30 days, which apps, rituals, journals, coaches, avatars, or reset tools did you actually use for this job: See a version of myself change as I make progress.","Participant names a recent tool/use moment in avatar_identity|coaching and can describe the trigger without being led.","Participant only likes the idea abstractly, cannot name recent behavior, or is outside the target market for the last 90 days.","Show the two-minute loop and ask what changed, what caused it, and whether the participant would return tomorrow.","What are you paying for now in avatar_identity|coaching, and which paid-depth feature would make this worth paying for after one free loop?","recent_behavior_match|specific_episode|current_tool|verbatim_language|loop_comprehension|meaning_lift_1_5|differentiation_1_5|return_intent_1_5|paid_depth_feature|fatal_objection","ICP_B_T01|ICP_B_T02|ICP_B_T03|ICP_B_T05|ICP_B_T06","Post transparently, follow community rules, and offer a short paid or clearly voluntary research session."
"ICP_B_CH_SOCIAL_PROOF","ICP_B","Avatar identity builders","P1_compare","8","See a version of myself change as I make progress.","avatar_identity|coaching","social_platform_discovery","9","108","Yoga International:4|Cozy Mahjong:1|Unplug: Meditation:1|Habit Tracker:1|ZOE Health: AI Meal Tracker:1","Social platform discovery or creator/community mention","In the last 30 days, which apps, rituals, journals, coaches, avatars, or reset tools did you actually use for this job: See a version of myself change as I make progress.","Participant names a recent tool/use moment in avatar_identity|coaching and can describe the trigger without being led.","Participant only likes the idea abstractly, cannot name recent behavior, or is outside the target market for the last 90 days.","Show the two-minute loop and ask what changed, what caused it, and whether the participant would return tomorrow.","What are you paying for now in avatar_identity|coaching, and which paid-depth feature would make this worth paying for after one free loop?","recent_behavior_match|specific_episode|current_tool|verbatim_language|loop_comprehension|meaning_lift_1_5|differentiation_1_5|return_intent_1_5|paid_depth_feature|fatal_objection","ICP_B_T01|ICP_B_T02|ICP_B_T03|ICP_B_T05|ICP_B_T06","Use public posts only as channel hypotheses; do not harvest identities from reviews."
"ICP_B_CH_FORUM_LANGUAGE","ICP_B","Avatar identity builders","P1_compare","8","See a version of myself change as I make progress.","avatar_identity|coaching","coded_forum_need_or_competitor_context","29","108","FORUM-008:4|FORUM-009:4|FORUM-010:4|FORUM-011:4|FORUM-012:4","Forum-language recruiting using exact problem wording from coded snippets","In the last 30 days, which apps, rituals, journals, coaches, avatars, or reset tools did you actually use for this job: See a version of myself change as I make progress.","Participant names a recent tool/use moment in avatar_identity|coaching and can describe the trigger without being led.","Participant only likes the idea abstractly, cannot name recent behavior, or is outside the target market for the last 90 days.","Show the two-minute loop and ask what changed, what caused it, and whether the participant would return tomorrow.","What are you paying for now in avatar_identity|coaching, and which paid-depth feature would make this worth paying for after one free loop?","recent_behavior_match|specific_episode|current_tool|verbatim_language|loop_comprehension|meaning_lift_1_5|differentiation_1_5|return_intent_1_5|paid_depth_feature|fatal_objection","ICP_B_T01|ICP_B_T02|ICP_B_T03|ICP_B_T05|ICP_B_T06","Use forum evidence for language and problem framing; recruit only through allowed public or owned channels."
