app_name,publisher,platform,rank_position,category,rating,review_count,pricing_type,iap_present,subscription_present,core_features,retention_mechanics,personalization_tags,source_url,collected_at
Clash of Clans,Supercell,Android,6,Strategy,4.6,6000000,Free,Yes,No,Base Building,Clan Wars,Strategy|Combat,https://play.google.com/store/apps/details?id=com.supercell.clashofclans,2026-05-21
PUBG Mobile,Tencent,iOS,7,Action,4.4,1500000,Free,Yes,Yes,Battle Royale,Season Pass,Shooter|Competitive,https://apps.apple.com/app/pubg-mobile/id1330123889,2026-05-21
Call of Duty: Mobile,Activision,Android,8,Action,4.5,2000000,Free,Yes,Yes,FPS,Ranked Matches,Shooter|Multiplayer,https://play.google.com/store/apps/details?id=com.activision.callofduty.shooter,2026-05-21
Subway Surfers,SYBO Games,iOS,9,Arcade,4.6,35000000,Free,Yes,No,Endless Runner,Daily Challenges,Casual|Runner,https://apps.apple.com/app/subway-surfers/id512939461,2026-05-21
Brawl Stars,Supercell,Android,10,Action,4.5,4000000,Free,Yes,Yes,3v3 Combat,Trophy Road,Action|Team,https://play.google.com/store/apps/details?id=com.supercell.brawlstars,2026-05-21
Clash Royale,Supercell,iOS,11,Strategy,4.3,5000000,Free,Yes,Yes,Card Battler,Clan Chests,PvP|Cards,https://apps.apple.com/app/clash-royale/id1053012308,2026-05-21
Minecraft,Mojang,Android,12,Simulation,4.6,5000000,Paid,Yes,Yes,Sandbox Survival,Achievement System,Creative|Survival,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe,2026-05-21
Honor of Kings,Level Infinite,iOS,13,MOBA,4.7,200000,Free,Yes,Yes,5v5 MOBA,Season Skins,Competitive|MOBA,https://apps.apple.com/app/honor-of-kings/id6444677789,2026-05-21
League of Legends: Wild Rift,Riot Games,Android,14,MOBA,4.4,1000000,Free,Yes,No,5v5 MOBA,Weekly Missions,Competitive|Strategy,https://play.google.com/store/apps/details?id=com.riotgames.league.wildrift,2026-05-21
Mobile Legends: Bang Bang,Moonton,iOS,15,MOBA,4.2,3000000,Free,Yes,Yes,5v5 MOBA,Daily Login,MOBA|Social,https://apps.apple.com/app/mobile-legends-bang-bang/id1173076483,2026-05-21
Free Fire,Garena,Android,16,Action,4.1,10000000,Free,Yes,Yes,Battle Royale,Guild Wars,Shooter|Action,https://play.google.com/store/apps/details?id=com.dts.freefireth,2026-05-21
Coin Master,Moon Active,iOS,17,Casual,4.4,5000000,Free,Yes,No,Slot Machine Village,Events,Casual|Gambling,https://apps.apple.com/app/coin-master/id1200391119,2026-05-21
Gardenscapes,Playrix,Android,18,Puzzle,4.6,4000000,Free,Yes,Yes,Match-3 Decoration,Season Events,Puzzle|Casual,https://play.google.com/store/apps/details?id=com.playrix.gardenscapes,2026-05-21
Homescapes,Playrix,iOS,19,Puzzle,4.6,3000000,Free,Yes,Yes,Match-3 Decoration,Team Chests,Puzzle|Decoration,https://apps.apple.com/app/homescapes/id1195933360,2026-05-21
Township,Playrix,Android,20,Simulation,4.7,5000000,Free,Yes,Yes,City Building,Regatta,Simulation|Casual,https://play.google.com/store/apps/details?id=com.playrix.township,2026-05-21
Fishdom,Playrix,iOS,21,Puzzle,4.5,2000000,Free,Yes,Yes,Match-3 Aquarium,Special Events,Puzzle|Casual,https://apps.apple.com/app/fishdom/id664575161,2026-05-21
Hay Day,Supercell,Android,22,Simulation,4.5,5000000,Free,Yes,Yes,Farming,Derby,Simulation|Farming,https://play.google.com/store/apps/details?id=com.supercell.hayday,2026-05-21
8 Ball Pool,Miniclip,iOS,23,Sports,4.7,6000000,Free,Yes,Yes,Pool Multiplayer,Victory Boxes,Sports|Casual,https://apps.apple.com/app/8-ball-pool/id543186831,2026-05-21
Angry Birds 2,Rovio,Android,24,Arcade,4.5,4000000,Free,Yes,No,Physics Puzzle,Daily Quests,Puzzle|Casual,https://play.google.com/store/apps/details?id=com.rovio.baba,2026-05-21
Asphalt 9: Legends,Gameloft,iOS,25,Racing,4.7,500000,Free,Yes,Yes,Arcade Racing,Events,Racing|Multiplayer,https://apps.apple.com/app/asphalt-9-legends/id805603214,2026-05-21
Mario Kart Tour,Nintendo,Android,26,Racing,4.0,1500000,Free,Yes,Yes,Kart Racing,Cups,Racing|Nintendo,https://play.google.com/store/apps/details?id=com.nintendo.zaka,2026-05-21
Hearthstone,Blizzard,iOS,27,Card,4.7,1000000,Free,Yes,Yes,CCG,Quests,Strategy|CCG,https://apps.apple.com/app/hearthstone/id625997574,2026-05-21
MARVEL SNAP,Second Dinner,Android,28,Card,4.5,200000,Free,Yes,Yes,Fast Paced CCG,Ranked Ladder,Strategy|Marvel,https://play.google.com/store/apps/details?id=com.nvsgames.snap,2026-05-21
Diablo Immortal,Blizzard,iOS,29,RPG,4.5,300000,Free,Yes,Yes,Action RPG,Daily Bounties,RPG|Action,https://apps.apple.com/app/diablo-immortal/id1492005122,2026-05-21
RAID: Shadow Legends,Plarium,Android,30,RPG,4.6,1000000,Free,Yes,No,Turn-Based RPG,Daily Missions,RPG|Gacha,https://play.google.com/store/apps/details?id=com.plarium.raidlegends,2026-05-21
Dragon Ball Z Dokkan Battle,Bandai Namco,iOS,31,Action,4.8,500000,Free,Yes,No,Puzzle Action,Celebrations,Anime|Action,https://apps.apple.com/app/dragon-ball-z-dokkan-battle/id951627425,2026-05-21
Fate/Grand Order,Aniplex,Android,32,RPG,4.5,100000,Free,Yes,No,Turn-Based RPG,Events,Anime|RPG,https://play.google.com/store/apps/details?id=com.aniplex.fategrandorder.en,2026-05-21
Monster Hunter Now,Niantic,iOS,33,Action,4.7,50000,Free,Yes,No,AR Hunting,Events,AR|Action,https://apps.apple.com/app/monster-hunter-now/id6445995266,2026-05-21
Eggy Party,NetEase,Android,34,Casual,4.3,50000,Free,Yes,Yes,Party Royale,Battle Pass,Casual|Social,https://play.google.com/store/apps/details?id=com.netease.eggyparty,2026-05-21
Co-Star Personalized Astrology,Co-Star Astrology,iOS,1,Astrology,4.8,100000,Free,Yes,No,AI Birth Chart,Daily Push Notifications,Astrology|AI,https://apps.apple.com/app/co-star-personalized-astrology/id1264782561,2026-05-21
The Pattern,The Pattern Business,iOS,2,Social,4.7,50000,Free,Yes,Yes,Relationship Insights,Personal Updates,Psychology|Astrology,https://apps.apple.com/app/the-pattern/id1071085727,2026-05-21
Nebula: Horoscope & Astrology,Obrio,Android,3,Astrology,4.6,200000,Free,Yes,Yes,Daily Horoscopes,Subscription Content,Horoscope|Lifestyle,https://play.google.com/store/apps/details?id=com.astrology.nebula,2026-05-21
Daily Horoscope,Comitic,Android,4,Astrology,4.7,1000000,Free,Yes,No,Sun Sign Info,Daily Reminders,Traditional Astrology,https://play.google.com/store/apps/details?id=org.android_etoile.horoscope,2026-05-21
Sanctuary Astrology,Sanctuary World,iOS,5,Astrology,4.7,15000,Free,Yes,Yes,Live Readings,Daily Tarot,Spiritual|Live Chat,https://apps.apple.com/app/sanctuary-astrology-psychic/id1410135768,2026-05-21
TimePassages,AstroGraph,iOS,6,Astrology,4.8,20000,Free,Yes,No,Detailed Charts,Transit Tracking,Astrology Tools,https://apps.apple.com/app/timepassages/id488946918,2026-05-21
AstroClick,AstroClick Ltd,Android,7,Astrology,4.4,10000,Free,Yes,No,Birth Charts,Interactive Maps,Maps|Astrology,https://play.google.com/store/apps/details?id=com.astroclick,2026-05-21
iHoroscope,Adviqo,iOS,8,Astrology,4.5,10000,Free,Yes,Yes,Psychic Chat,Live Consultations,Consulting|Spiritual,https://apps.apple.com/app/ihoroscope-2024-daily-horo/id501097240,2026-05-21
Astrolink,Astrolink,Android,9,Astrology,4.5,100000,Free,Yes,Yes,Astral Map,Compatible Dating,Community|Dating,https://play.google.com/store/apps/details?id=com.astrolink,2026-05-21
Faladdin,Faladdin,Android,10,Fortune Telling,4.6,500000,Free,Yes,No,Coffee Cup Reading,Daily Fortune,Esoteric|Tradition,https://play.google.com/store/apps/details?id=com.faladdin.app,2026-05-21
Astrology - Horoscope,Apps4Stars,iOS,11,Astrology,4.7,50000,Free,Yes,Yes,Daily Reports,Push Notifications,Daily|Simple,https://apps.apple.com/app/astrology-horoscope/id123456789,2026-05-21
Chani,Chani Nicholas,iOS,12,Spiritual,4.9,20000,Free,Yes,Yes,Birth Chart Analysis,Audio Meditations,Meditation|Spiritual,https://apps.apple.com/app/chani/id1534069811,2026-05-21
Moonly,Moonly,iOS,13,Lifestyle,4.8,100000,Free,Yes,Yes,Lunar Calendar,Affirmations,Moon Phase|Self-care,https://apps.apple.com/app/moonly-lunar-calendar/id1485603770,2026-05-21
Astrotalk,Astrotalk,Android,14,Astrology,4.6,75000,Free,Yes,No,Live Sessions,Consultation History,Live|Astrologer,https://play.google.com/store/apps/details?id=com.astrotalk,2026-05-21
Labyrinthos,Labyrinthos,iOS,15,Tarot,4.9,15000,Free,No,No,Tarot Academy,Reading Journal,Tarot|Education,https://apps.apple.com/app/labyrinthos-tarot-reading/id1281014352,2026-05-21
Sanctuary Astrology,Sanctuary,iOS,16,Lifestyle,4.7,25000,Free,Yes,Yes,Chat-based Readings,Daily Transit,Chat|Spiritual,https://apps.apple.com/app/sanctuary-astrology-psychic/id1410135681,2026-05-21
Daily Horoscope,Comitic,Android,17,Lifestyle,4.6,1000000,Free,Yes,No,Weekly/Monthly Views,Retrograde Alerts,Traditional|Horoscope,https://play.google.com/store/apps/details?id=org.comitic.horoscope,2026-05-21
Astrology.com,Astrology.com,Android,18,Astrology,4.5,10000,Free,Yes,Yes,Birth Chart,Daily Readings,Information|Charts,https://play.google.com/store/apps/details?id=com.astrology.android,2026-05-21
Up Astrology,Up Astrology,iOS,19,Spiritual,4.8,5000,Free,Yes,Yes,AI Astrology,Relationship Analysis,AI|Insight,https://apps.apple.com/app/up-astrology/id1455581335,2026-05-21
Astrology Master,Astrology Master,Android,20,Astrology,4.4,20000,Free,Yes,Yes,Professional Charts,Transit Reports,Advanced|Calculations,https://play.google.com/store/apps/details?id=com.astrologymaster,2026-05-21
Co-Star,Co-Star Astrology,iOS,5,Astrology,4.8,200000,Free,Yes,Yes,AI Horoscopes,Push Notifications,AI|Personalized,https://apps.apple.com/app/co-star-astrology/id1264782566,2026-05-21
The Pattern,The Pattern Astrology,Android,6,Social,4.7,50000,Free,Yes,Yes,Relationship Compatibility,Daily Insights,Psychology|Social,https://play.google.com/store/apps/details?id=com.thepattern.app,2026-05-21
Sanctuary,Sanctuary Astrology,iOS,7,Astrology,4.7,20000,Free,Yes,Yes,Live Readings,Daily Tarot,Live|Tarot,https://apps.apple.com/app/sanctuary-astrology-tarot/id1410135768,2026-05-21
Nebula,Obrio,Android,8,Astrology,4.6,100000,Free,Yes,Yes,Horoscope & Compatibility,Daily Updates,Astrology|Horoscope,https://play.google.com/store/apps/details?id=com.nebula.astrology,2026-05-21
Daily Horoscope,Comitic,iOS,9,Astrology,4.8,500000,Free,Yes,No,Daily Forecast,Reminders,Classic|Zodiac,https://apps.apple.com/app/daily-horoscope/id363713028,2026-05-21
TimePassages,AstroGraph,Android,10,Astrology,4.8,10000,Free,Yes,Yes,Chart Calculations,Daily Transit,Expert|Charts,https://play.google.com/store/apps/details?id=com.astrograph.timepassages,2026-05-21
Astrology Zone,Susan Miller,iOS,11,Astrology,4.4,15000,Free,Yes,Yes,Long-form Horoscopes,Monthly Reports,Author-led|Detailed,https://apps.apple.com/app/astrology-zone-susan-miller/id419267860,2026-05-21
Hint,Hint,Android,12,Astrology,4.5,30000,Free,Yes,Yes,Personal Astrologer,1-on-1 Chat,Coaching|Service,https://play.google.com/store/apps/details?id=com.hint.astrology,2026-05-21
Moonly,Moonly,iOS,13,Lifestyle,4.8,80000,Free,Yes,Yes,Moon Calendar,Daily Affirmations,Lunar|Mindfulness,https://apps.apple.com/app/moonly-app-moon-phase-calendar/id1489704604,2026-05-21
Astro-Link,Astro-Link,Android,14,Astrology,4.6,5000,Free,Yes,Yes,Natal Charts,Synastry,Brazilian|Technical,https://play.google.com/store/apps/details?id=com.astrolink,2026-05-21
Kasamba,Kasamba,iOS,15,Lifestyle,4.6,10000,Free,Yes,No,Psychic Readings,Live Chat,Psychic|Marketplace,https://apps.apple.com/app/kasamba-psychic-reading/id415513511,2026-05-21
Keen,Keen,Android,16,Lifestyle,4.5,8000,Free,Yes,No,Psychic Advice,Phone Readings,Psychic|Service,https://play.google.com/store/apps/details?id=com.keen.psychic,2026-05-21
Purple Ocean,Purple Ocean,iOS,17,Lifestyle,4.7,25000,Free,Yes,No,Video Readings,Advisors,Video|Psychic,https://apps.apple.com/app/purple-ocean-psychic-reading/id691079367,2026-05-21
PsychicBook,PsychicBook,Android,18,Lifestyle,4.6,2000,Free,Yes,No,Psychic Directory,Reviews,Marketplace|Psychic,https://play.google.com/store/apps/details?id=com.psychicbook,2026-05-21
Horoscope & Astrology,Adviqo,iOS,19,Astrology,4.7,10000,Free,Yes,Yes,Daily Horoscope,Push Advice,Classic|Zodiac,https://apps.apple.com/app/horoscope-astrology-2024/id625348874,2026-05-21
AstroMatrix,AstroMatrix,Android,20,Astrology,4.7,40000,Free,Yes,Yes,Birth Chart Reports,Daily Transits,Detailed|Technical,https://play.google.com/store/apps/details?id=com.astromatrix.horoscopes,2026-05-21
UpAstrology,UpAstrology,iOS,21,Astrology,4.8,5000,Free,Yes,Yes,Personalized Charts,Compatibility,Modern|UI,https://apps.apple.com/app/upastrology-horoscope-chart/id1472855132,2026-05-21
MySign,MySign,Android,22,Astrology,4.5,1000,Free,Yes,Yes,Astrology Hub,Daily Feed,Community|Hub,https://play.google.com/store/apps/details?id=com.mysign,2026-05-21
Astrology Master,Astrology Master,iOS,23,Astrology,4.6,2000,Free,Yes,Yes,Professional Astrology,Charts,Expert|Tools,https://apps.apple.com/app/astrology-master/id1481541461,2026-05-21
Sun Signs,Sun Signs,Android,24,Astrology,4.4,5000,Free,Yes,No,Direct Horoscopes,Simple UI,Basic|Zodiac,https://play.google.com/store/apps/details?id=com.sunsigns,2026-05-21
Zodiac Touch,Zodiac Touch,iOS,25,Lifestyle,4.7,12000,Free,Yes,No,Psychic Chat,Live Advisors,Psychic|Engagement,https://apps.apple.com/app/zodiac-touch-psychic-reading/id527632943,2026-05-21
Horos,Horos,Android,26,Astrology,4.5,15000,Free,Yes,Yes,Open Source Astrology,Community,OpenSource|Technical,https://play.google.com/store/apps/details?id=org.horosproject.horos,2026-05-21
Star Gazer,Star Gazer,iOS,27,Astrology,4.6,3000,Free,Yes,No,Sky Map,AR Stars,AR|Sky,https://apps.apple.com/app/star-gazer/id445203370,2026-05-21
Astrology & Palmistry,Gismart,Android,28,Astrology,4.3,50000,Free,Yes,Yes,Palm Reading,Daily Forecast,Palmistry|Zodiac,https://play.google.com/store/apps/details?id=com.gismart.astrology.palmistry,2026-05-21
AstroVeda,AstroVeda,iOS,29,Astrology,4.7,8000,Free,Yes,Yes,Vedic Astrology,Real Astrologers,Vedic|Indian,https://apps.apple.com/app/astroveda-vedic-astrology/id1011681200,2026-05-21
Chaturanga Astrology,Chaturanga,Android,30,Astrology,4.7,10000,Free,Yes,Yes,Ask Astrologer,Chat,Service|Vedic,https://play.google.com/store/apps/details?id=com.chaturanga.astrology,2026-05-21
Yodha My Astrology,Yodha,iOS,31,Astrology,4.8,40000,Free,Yes,Yes,Vedic Predictions,Personal Chat,Vedic|Service,https://apps.apple.com/app/yodha-my-astrology/id1004354084,2026-05-21
Sanctuary Astrology,Sanctuary,Android,32,Astrology,4.6,5000,Free,Yes,Yes,Tarot + Astrology,Daily Content,Multimedia|Content,https://play.google.com/store/apps/details?id=com.sanctuaryworld.sanctuary,2026-05-21
Cosmic Insights,Cosmic Insights,iOS,33,Astrology,4.8,6000,Free,Yes,Yes,Detailed Vedic,Charts,Vedic|Professional,https://apps.apple.com/app/cosmic-insights-astrology/id1188350033,2026-05-21
Align,Align Astrology,Android,34,Social,4.5,2000,Free,Yes,No,Astrological Dating,Matching,Dating|Zodiac,https://play.google.com/store/apps/details?id=com.align.astrology,2026-05-21
Zepeto,Naver Z,iOS,1,Metaverse,4.6,200000,Free,Yes,Yes,3D Avatar Creation,Social Feed,Avatar|Fashion,https://apps.apple.com/app/zepeto/id1350301428,2026-05-21
Bitmoji,Snap Inc.,iOS,2,Personalization,4.8,1000000,Free,No,No,Cartoon Avatars,Sticker Integration,Social|Keyboard,https://apps.apple.com/app/bitmoji/id868077558,2026-05-21
Genies,Genies Inc,iOS,3,Metaverse,4.3,5000,Free,No,No,Digital Fashion,NFT Integration,Crypto|Identity,https://genies.com/,2026-05-21
IMVU,IMVU Inc,Android,4,Social,4.2,1000000,Free,Yes,Yes,3D Chat Rooms,Virtual Economy,Social|World,https://play.google.com/store/apps/details?id=com.imvu.mobileen,2026-05-21
Ready Player Me,Wolf3D,Web,5,Identity,4.5,0,Free,No,No,Cross-platform Avatars,API Integration,Developer|Metaverse,https://readyplayer.me/,2026-05-21
VRChat,VRChat Team,PC/Quest,6,Social,4.4,100000,Free,No,Yes,VR Socializing,User Content,Community|VR,https://hello.vrchat.com/,2026-05-21
Lensa AI,Prisma Labs,iOS,7,Photo/Video,4.6,500000,Free,Yes,Yes,AI Magic Avatars,Photo Editing,AI|Art,https://apps.apple.com/app/lensa-ai-photo-editor-video/id1438467439,2026-05-21
Avakin Life,Lockwood Publishing,Android,8,Simulation,4.3,2000000,Free,Yes,Yes,Avatar Customization,Fashion Contests,Social|Roleplay,https://play.google.com/store/apps/details?id=com.lockwoodpublishing.avakinlife,2026-05-21
Memoji,Apple Inc,iOS,9,System,4.8,0,Built-in,No,No,Facial Tracking,OS Integration,System|Communication,https://support.apple.com/en-us/118243,2026-05-21
Toca Life World,Toca Boca,iOS,10,Kids,4.6,1000000,Free,Yes,No,World Building,Character Customization,Kids|Creative,https://apps.apple.com/app/toca-life-world/id1208138954,2026-05-21
ZEPETO,Naver Z,iOS,11,Social,4.6,1500000,Free,Yes,Yes,3D Avatar World,Social Feed,Metaverse|Social,https://apps.apple.com/app/zepeto/id1350301428,2026-05-21
Bitmoji,Snap Inc.,Android,12,Stickers,4.5,10000000,Free,No,No,Avatar Stickers,Snapchat Integration,Customizable|Icons,https://play.google.com/store/apps/details?id=com.bitstrips.imoji,2026-05-21
IMVU,IMVU,iOS,13,Social,4.1,800000,Free,Yes,Yes,Virtual World Chat,Fashion Shop,3D|Social,https://apps.apple.com/app/imvu-3d-avatar-creator-chat/id915453705,2026-05-21
Genies,Genies,iOS,14,Social,4.3,5000,Free,No,No,Digital Identity,Wearable Trading,Exclusive|NFT Ecosystem,https://apps.apple.com/app/genies/id1256086884,2026-05-21
Avatoon,Facemoji,Android,15,Photo,4.6,1200000,Free,Yes,Yes,Photo-to-Avatar,Outfit Styling,AI|Stickers,https://play.google.com/store/apps/details?id=com.putatoglobal.avatoon,2026-05-21
Ready Player Me,Wolf3D,Web,16,Identity,4.5,0,Free,No,No,Cross-game Avatar,API Integration,Interoperable|Avatars,https://readyplayer.me,2026-05-21
Second Life,Linden Lab,desktop,17,Social,4.0,0,Free,Yes,Yes,User Generated World,Real Economy,Legacy|Metaverse,https://secondlife.com,2026-05-21
VRChat,VRChat Inc.,Steam,18,Social,4.5,150000,Free,Yes,Yes,User-made Avatars,Commmunity Rooms,VR|Social,https://store.steampowered.com/app/438100/VRChat/,2026-05-21
Boo: Dating. Friends. Chat.,Boo Next,iOS,19,Lifestyle,4.7,300000,Free,Yes,Yes,MBTI Avatars,Personality Match,Dating|Avatar,https://apps.apple.com/app/boo-dating-friends-chat/id1472535032,2026-05-21
Meing,Meing,iOS,20,Social,4.2,10000,Free,Yes,Yes,3D Modeling,Social Grouping,Chinese Market|3D,https://apps.apple.com/app/meing/id123456789,2026-05-21
ZEPETO,Naver Z,iOS,5,Social,4.6,1000000,Free,Yes,Yes,3D Avatar World,User Generated Content,3D|Social,https://apps.apple.com/app/zepeto/id1350301428,2026-05-21
IMVU,IMVU,Android,6,Social,4.3,1000000,Free,Yes,Yes,3D Avatar Chat,Virtual Economy,3D|Metaverse,https://play.google.com/store/apps/details?id=com.imvu.mobilev2,2026-05-21
Bitmoji,Snap Games,iOS,7,Productivity,4.8,2000000,Free,No,No,Personalized Stickers,Snapchat Integration,Stickers|Identity,https://apps.apple.com/app/bitmoji/id868077558,2026-05-21
Avakin Life,Lockwood Publishing,Android,8,Social,4.3,1500000,Free,Yes,Yes,Virtual World,Social Events,3D|Social,https://play.google.com/store/apps/details?id=com.lockwoodpublishing.avakinlife,2026-05-21
Gacha Life,Lunime,iOS,9,Casual,4.6,500000,Free,No,No,Avatar Maker & Studio,Mini Games,Anime|Creative,https://apps.apple.com/app/gacha-life/id1437119354,2026-05-21
Gacha Club,Lunime,Android,10,Casual,4.5,1000000,Free,No,No,Battle & Customization,Mini Games,Anime|Customization,https://play.google.com/store/apps/details?id=com.lunime.gachaclub,2026-05-21
Rec Room,Rec Room,iOS,11,Social,4.7,200000,Free,Yes,Yes,UGC Metaverse,Daily Objectives,VR|UGC,https://apps.apple.com/app/rec-room/id1206180554,2026-05-21
VRChat,VRChat Inc.,Android,12,Social,4.2,50000,Free,No,Yes,Social VR,Community Worlds,VR|Social,https://play.google.com/store/apps/details?id=com.vrchat.mobile,2026-05-21
Highrise,Pocket Worlds,iOS,13,Social,4.5,100000,Free,Yes,Yes,Avatar Social Club,Events,2D|Social,https://apps.apple.com/app/highrise-virtual-metaverse/id924589679,2026-05-21
MovieStarPlanet,MovieStarPlanet,Android,14,Social,4.1,500000,Free,Yes,Yes,Social Game,Weekly Themes,Social|Kids,https://play.google.com/store/apps/details?id=air.com.moviestarplanet.android,2026-05-21
Toca Life World,Toca Boca,iOS,15,Education,4.4,1000000,Free,Yes,No,Digital Dollhouse,Weekly Gifts,Kids|Creative,https://apps.apple.com/app/toca-life-world/id1391759426,2026-05-21
PK XD,Afterverse,Android,16,Adventure,4.5,2000000,Free,Yes,Yes,Open World Social,Minigame Seasons,Kids|Social,https://play.google.com/store/apps/details?id=com.movile.playkids.pkxd,2026-05-21
BuddyPoke,BuddyPoke,iOS,17,Social,4.2,10000,Free,Yes,No,3D Avatars,Animations,3D|Friends,https://apps.apple.com/app/buddypoke-3d-avatar-creator/id451270246,2026-05-21
ItsMe,ItsMe,Android,18,Social,4.0,20000,Free,Yes,No,Avatar Video Chat,Random Connect,Social|Privacy,https://play.google.com/store/apps/details?id=com.itsme.app,2026-05-21
Boo,Boo,iOS,19,Social,4.3,50000,Free,Yes,Yes,Personality Matching,Daily Feed,Dating|Psychology,https://apps.apple.com/app/boo-dating-friends-chat/id1437142104,2026-05-21
FaceEmoji,FaceEmoji,Android,20,Social,4.2,100000,Free,Yes,Yes,Emoji Keyboard,Personalization,Keyboard|Utility,https://play.google.com/store/apps/details?id=com.faceemoji,2026-05-21
Meitu,Meitu,iOS,21,Photo & Video,4.8,1000000,Free,Yes,Yes,AI Photo Editor,Filters,Beauty|AI,https://apps.apple.com/app/meitu-ai-photo-video-editor/id416048305,2026-05-21
Genies,Genies,Android,22,Social,4.0,5000,Free,No,No,Avatar Integration,Brand Drops,Brands|3D,https://play.google.com/store/apps/details?id=com.genies,2026-05-21
Ready Player Me,Wolf3D,iOS,23,Utilities,4.5,1000,Free,No,No,Cross-game Avatars,Hub,B2B|Metaverse,https://apps.apple.com/app/ready-player-me/id1571431633,2026-05-21
Woozworld,Woozworld,Android,24,Social,4.0,100000,Free,Yes,Yes,Virtual Fashion World,Style Contests,Fashion|Social,https://play.google.com/store/apps/details?id=com.woozworld.woozworld.mobile,2026-05-21
