capture_rank,app_name,niche,original_signal,source_url,screenshot_path,ocr_status,ocr_detected_tags,original_detected_prices,ocr_detected_prices,screenshot_interpretation_verdict,visual_adjudication,adjudication_confidence,price_evidence,conservative_rationale,final_claim_limit,signoff_status,ocr_excerpt
"13","Avatar World ®","avatar_identity","medium","https://pazugames.com/","output/paywall_screenshots/13-avatar-world-medium.png","ok","visible_subscription","","","partially_confirms_paywall_language","partial_paid_surface_language","medium","","Local visual review confirms same-brand/portfolio context for Avatar World but no visible price, plan term, or in-app paywall.","Avatar-market product context only; pricing, plan depth, and paywall timing remain open.","local_visual_signoff_completed_no_clean_price_portfolio","Careers Games Support Business opportunity About us ~~” ~e. a & ~ < € ¢ , a+ : 6 Explore Our Games e o~ ( AS WORD 250 million downloads. 42 million monthly players. ONE LIVING UNIVERSE > & & eet< yw) OP:"
"14","Call of Duty®: Mobile - Garena","gaming","medium","https://codm.garena.tw/","output/paywall_screenshots/14-call-of-duty-mobile-garena-medium.png","ok","no_ocr_paywall_terms","$5,00","","weak_or_unconfirmed","weak_or_unconfirmed_public_signal","low","$5,00","Screenshot/OCR does not confirm public pricing or paywall terms.","Public screenshot/OCR evidence only; human review and in-app paywall inspection remain required before final claims.","needs_human_signoff","CALEDUTY. Bib the z e = (4 ’; ne ( 4. Download on the ) GETITON Rm | NR BASS ROR GEO | SIEHO « App Store | > Google Play Wa ’ a 4 C e . a . yy s€ a Oe i * Giles S Fe 4 q f ‘$ roe ie Z om \ | < * “SS Y , ! H | j 14 \ Ys] liao I & = £ i 8 Whee Ae PS. we, (a. a s uli a ‘. CO Vy teh 2 NE CABIN Mobile) SaiNAS... 05-25 ah ae 4 Pee \ se] Lowa tiniuese) Hit. 05-01 L’ DUTY (Ce) ae ) USS] ORR SASRIBEEDRD... 09-26 ! - eS eae } sss] 03/19) HEBERT: (BALK... 03-19 TISAI | - Die CE a» Ww, he 4 2S UNS BSE S7 ESCA, w@... 01-06"
"15","AstroSage Kundli: AI Astrology","astrology_esoterics","medium","https://www.astrosage.com/","output/paywall_screenshots/15-astrosage-kundli-ai-astrology-medium.png","ok","visible_subscription","","","partially_confirms_paywall_language","partial_paid_surface_language","medium","","Local visual review shows monetized astrology/service language on AstroSage, but not a clean app subscription or IAP page.","Astrology monetization context only; do not use as app pricing or WTP proof.","local_visual_signoff_completed_no_clean_app_price","@ Chat with Astrologer @ | | G¥<O | 1 ARIES TAURUS GEMINI CANCER LEO VIRGO LIBRA SCORPIO SAGITTARIUS CAPRICORN AQUARIUS PISCES Home ~ Horoscope ~ Astrology - 2026 ~ Occult - Free Reports - Healing - Panchang ~ Lal Kitab - KP - Compatibility - Calculators - Festivals - Misc ~ Free Kundli Horoscope Matching Horoscope 2026 fei 2026 ‘Today's Horoscope Rashifal Online Horoscope Rahu Kaal Today Hindi Kundli Lal Kitab Moon Signs Buy Brihat Kundli peenee WELCOMING THE WORLD TO THE INDIA AISUMMIT * NEWDELHI ¢ FEBRUARY 2026 250+ pages + . . astrosage al i are India's Fastest-Growing Al Startup BUYNOW Profitable since day one. Averaging 20% monthly 80 M+ Al growth for 18 months with ~90% margins. Zero"
"16","Calm - Sleep, Meditate, Relax","mindfulness","medium","https://www.calm.com/","output/paywall_screenshots/16-calm-sleep-meditate-relax-medium.png","ok","no_ocr_paywall_terms","","","weak_or_unconfirmed","weak_or_unconfirmed_public_signal","low","","Screenshot/OCR does not confirm public pricing or paywall terms.","Public screenshot/OCR evidence only; human review and in-app paywall inspection remain required before final claims.","needs_human_signoff",""
"17","NBA 2K Mobile Basketball Game","gaming","medium","https://www.nba2kmobile.com/","output/paywall_screenshots/17-nba-2k-mobile-basketball-game-medium.png","ok","visible_price","","$20","weak_or_unconfirmed","visible_price_context_uncertain","low_medium","$20","A price-like token is visible, but OCR/page context does not confirm subscription or paywall terms.","Public screenshot/OCR evidence only; human review and in-app paywall inspection remain required before final claims.","needs_human_signoff","$20CMOBILE ste Nows vat sock Ceo 4 2 ag at eee THA. at Th Geass: ‘Sarai 4 ks a *EXCLUSIVE* ae t AS Se ERM © a, oe Ne ee < aN a ii geeoey oD ae Empire State Elite ASEs Na CAE | Ou > 2 eee DSS VA BO ON s€: SON y ye a a 4 1 King of New York Jalen Brunson ELITE (20% Bonus Chance) + 3 SgS SS EAS a BAZ eg reese Guaranteed Random Lunar Rose Specialists card + 6 Random Specialists Sav PREZ BRUNSON; ee e cards (LUNAR ROSE - ARCANA) + 4 Random theme or Specialists theme 5 ee Po A RIM 3 4 pega cards (LUNAR ROSE - AZURE) +1400 Coins + 3 Legendary Gear ‘ a ‘ e (raw P iat < _ hee \ ues : ate a ye @ MOBILE® _ .\% Py, feet Pic) / . red ace 'F i | OF ee aa Special Bundle Welcome Offer Weekly Action Pack @wiu"
"18","Rainbow Six Mobile","gaming","medium","https://ubisoft-mobile.helpshift.com/hc/en/45-rainbow-six-mobile/","output/paywall_screenshots/18-rainbow-six-mobile-medium.png","ok","no_ocr_paywall_terms","","","weak_or_unconfirmed","weak_or_unconfirmed_public_signal","low","","Screenshot/OCR does not confirm public pricing or paywall terms.","Public screenshot/OCR evidence only; human review and in-app paywall inspection remain required before final claims.","needs_human_signoff","© Ubisoft Mobile Support aa x se fav o on Ag ; ' ) “Higho caffwe help you? ».—."
"19","WWE Mayhem","gaming","medium","https://www.reliancegames.com/","output/paywall_screenshots/19-wwe-mayhem-medium.png","ok","no_ocr_paywall_terms","","","weak_or_unconfirmed","weak_or_unconfirmed_public_signal","low","","Screenshot/OCR does not confirm public pricing or paywall terms.","Public screenshot/OCR evidence only; human review and in-app paywall inspection remain required before final claims.","needs_human_signoff","a 7 I d e, | j w\ > e 6 ~ : | f igi ) > = vt ty od \ ™ \ eer - m4 f . a e a —__————‘ wm = OO SS rs r 1 P WY F i . —————— ee — . - # é —_"
"20","Mirror: Emoji maker, Stickers","avatar_identity","medium","https://www.mirror-ai.com/business","output/paywall_screenshots/20-mirror-emoji-maker-stickers-medium.png","ok","no_ocr_paywall_terms","$0|$0.01|$399|$0.05|$999","","weak_or_unconfirmed","weak_or_unconfirmed_public_signal","low","$0|$0.01|$399|$0.05|$999","Screenshot/OCR does not confirm public pricing or paywall terms.","Public screenshot/OCR evidence only; human review and in-app paywall inspection remain required before final claims.","needs_human_signoff","MIRROR Home Business About API Docs Solutions v Mirror Al For Business Make your users as part of your brand bs Mirror Al offers a unique opportunity for businesses to enhance their er BA \ brand engagement by turning user photos into personalized cartoon Me, é \ avatars with recognizable facial features. Take your brand engagement [ [ | LA ), } to the next level and create a more memorable and engaging ] nt experience for their users. Sus. MONWPOLY a. wu a AAR"
"21","Everskies: Virtual Dress up","avatar_identity","medium","https://everskies.com/pricing","output/paywall_screenshots/21-everskies-virtual-dress-up-medium.png","ok","visible_subscription","","","partially_confirms_paywall_language","partial_paid_surface_language","medium","","Local visual review shows a product-matched public/logged-out Everskies page with StarPass/Stars language, but no clean price.","Weak avatar-economy paid-surface cue only; pricing and conversion remain open.","local_visual_signoff_completed_no_clean_price","* a OB @ Q Search You have been logged out. x # Create your Avatar ikea © Event Calendar making assumptions of your... Outfit Comp: Treats eswagers _afewseconds ago Outfit Comp: EverTreats May24, © 200875 24 The Event has ended. 2026 125426 since pride months right aro... Come join our new comp; win > *webbedrea... afew seconds... EMM outfit Comp: Mermay StarPass, Stars and other 20 The Event has ended. Gasket Pick me gays truedama... 2fewseconds a. Outfit Comp: Endangered... saute 13 TheEventhas ended. when pride month starts . afew seconds ago ebeingbub... afewseconds a... ~— Pplonhererlwk odd . afew seconds ago 3 Featured Items 4 Shop Updates e Support | Creator FAQ | Careers | Staying Sa"
"22","PRISM Live Studio: Games & IRL","avatar_identity","medium","https://prismlive.com/en_us/","output/paywall_screenshots/22-prism-live-studio-games-irl-medium.png","ok","no_ocr_paywall_terms","","","weak_or_unconfirmed","weak_or_unconfirmed_public_signal","low","","Screenshot/OCR does not confirm public pricing or paywall terms.","Public screenshot/OCR evidence only; human review and in-app paywall inspection remain required before final claims.","needs_human_signoff","New Face Retouch & Stunning Mokeup Effects @ e Make every meeting and stream shine with PRISM Lens! A N Live Studio pr Community vy PRISM Plu NX > 4 ‘= ‘= over all the essential features for live streaming in one place. a gin your streaming journey today. fa] Download v an PRISM Live Studio 7 i ; : i a a This all-in-one program enables content producers to handle live Smart tools streaming and recording, PRISM Live Studo provides al the necessary fi ll t tools for streaming on major platforms. or all Creators. +3284 @ 1073 Boss @o1s [Ew] a or / \ (% ) 8 11 Na, aes Lap"
"23","BetterMe: Health Coaching","coaching","medium","https://betterme.world/pricing","output/paywall_screenshots/23-betterme-health-coaching-medium.png","ok","visible_not_found|visible_login_gate","","","weakens_signal_not_found","reject_or_weaken_public_page_signal","medium","","Captured page is not found, unreachable, or visibly not the claimed pricing/paywall page.","Public screenshot/OCR evidence only; human review and in-app paywall inspection remain required before final claims.","needs_human_signoff","BetterMe Products For Business Store Privacy policy Log in = ; m to find Oops! We can't seem to fin 're looking f the page you're looking for. BACK TO HOMEPAGE Old \f X/in Products For Business Affiliate Program About Us Careers Blog Contacts Brand Assets © 2026. BetterMe. Need Help? —_ Terms of Use Privacy policy Editorial Process and Standards —- Master Service Agreement Our website services, content and products are for informational purposes only. BetterMe does not e-Privacy Settings provide medical advice, diagnosis, or treatment"
"24","Insight Timer - Meditation App","mindfulness","medium","https://insighttimer.com/pricing","output/paywall_screenshots/24-insight-timer-meditation-app-medium.png","ok","visible_login_gate","","","weak_or_unconfirmed","login_gate_or_app_store_redirect","low_medium","","Captured page appears to gate pricing behind login, redirect, or account flow.","Public screenshot/OCR evidence only; human review and in-app paywall inspection remain required before final claims.","needs_human_signoff","InsightTimer Therapists Topics v Retreats v Sleep Resources v About Us Q Login The page you were looking for doesn't exist. InsightTimer Browse Resources Company © usa . GOnvyeae@ Crisis support We use cookies on our site to enhance your user experience, provide personalized content, and analyze our traffic."
"25","Mindfulness with Petit BamBou","mindfulness","medium","https://www.petitbambou.com/en","output/paywall_screenshots/25-mindfulness-with-petit-bambou-medium.png","ok","visible_subscription|visible_login_gate","","","partially_confirms_paywall_language","partial_paid_surface_language","medium","","Local visual review shows Subscribe/Login and free-version language on Petit BamBou, but no clean subscription price.","Weak mindfulness paid-surface cue only; pricing, plan depth, and WTP remain open.","local_visual_signoff_completed_no_clean_price","= Meditation v eS) WY Subscribe & Login petit amBou OUR PHILOSOPHY Simple, accessible . . @ Petit BamBou and kind: that is Petit BamBou. FEEL GOOD EACH AND EVERY DAY ; | ; Sessions and tools for meditation An app for simply meditating, breathing, and taking and breathing care of yourself — Create an account ° Afree version Apersonal account ‘Acustomer service Ateam of contributors no ads, no credit card required to save your history and favorites like no other toguide you FEELING GOOD CAN'T BE QUANTIFIED, IT’S SOMETHING YOU EXPERIENCE. 66 Taking care of our mental and emotional health is essential. What matters most to me is how we go about doing it. e@"
"26","Hallow: Prayer & Meditation","mindfulness","medium","https://hallow.com/login/?redirect=%2Fsubscribe%2F","output/paywall_screenshots/26-hallow-prayer-meditation-medium.png","ok","visible_login_gate","","","weak_or_unconfirmed","login_gate_or_app_store_redirect","low_medium","","Captured page appears to gate pricing behind login, redirect, or account flow.","Public screenshot/OCR evidence only; human review and in-app paywall inspection remain required before final claims.","needs_human_signoff","Halléw HowtoPray Bible —-Parishes & Schools _—«Giift Cards. Q Discover _Login Choose your log in method below G Continue with Google @ Continue with Apple"
"27","Co–Star Personalized Astrology","astrology_esoterics","medium","https://www.costarastrology.com/pricing","output/paywall_screenshots/27-co-star-personalized-astrology-medium.png","ok","visible_not_found","","","weakens_signal_not_found","reject_or_weaken_public_page_signal","medium","","Captured page is not found, unreachable, or visibly not the claimed pricing/paywall page.","Public screenshot/OCR evidence only; human review and in-app paywall inspection remain required before final claims.","needs_human_signoff","Co-Star DOWNLOAD TOS DOWNLOAD ANDROID NATAL CHART LEARN ASTROLOGY SHOP We couldn't find the page you're looking for. Let us know if you think you found a bug. Co-Star NATAL_CHART ABOUT JoBs ¢d LEARN ASTROLOGY FAQ TEAM DOWNLOAD Ios sHoP HASKELL"
"28","Monster Girl Maker 2","avatar_identity","medium","https://www.ghoulkiss.com/","output/paywall_screenshots/28-monster-girl-maker-2-medium.png","ok","visible_price","","$9","weak_or_unconfirmed","visible_price_context_uncertain","low_medium","$9","A price-like token is visible, but OCR/page context does not confirm subscription or paywall terms.","Public screenshot/OCR evidence only; human review and in-app paywall inspection remain required before final claims.","needs_human_signoff","(/2VS)/ - ....@#§#|_ @ + Ve, RR, * art 2808 “galork online » Stes’ Spstofe. * * about the artist -o x a .*9°% HELLO .+,°% ®Q ) J NS y 'm Emmy and | go by the artist/pen name f ‘=< Do 5 ze ‘Ghoulkiss’! A FE iF I've been operating under this name since (\\V Ane a!) if around 2015, and | absolutely love creating Cas “7 & merchandise such as posters, stickers, pin Sp AC ‘a ¥ badges, keyrings and other fun accessories Vv) CWA y ~ and mediums. | have an absolute love for a aS Sy old school Y2K styled merch! G hy fi “a =e F My works usually have a recurring theme of ol TENS © P strange and fantasy-like character designs, W &. \ 0 aya complemented with bright and pastel AA Ry i \ = rr | EP De, Y, >»"
"29","Monster Girl Maker","avatar_identity","medium","https://www.ghoulkiss.com/","output/paywall_screenshots/29-monster-girl-maker-medium.png","ok","visible_price","","$9","weak_or_unconfirmed","visible_price_context_uncertain","low_medium","$9","A price-like token is visible, but OCR/page context does not confirm subscription or paywall terms.","Public screenshot/OCR evidence only; human review and in-app paywall inspection remain required before final claims.","needs_human_signoff","(/2VS)/ - ....@#§#|_ @ + Ve, RR, * art 2808 “galork online » Stes’ Spstofe. * * about the artist -o x a .*9°% HELLO .+,°% ®Q ) J NS y 'm Emmy and | go by the artist/pen name f ‘=< Do 5 ze ‘Ghoulkiss’! A FE iF I've been operating under this name since (\\V Ane a!) if around 2015, and | absolutely love creating Cas “7 & merchandise such as posters, stickers, pin Sp AC ‘a ¥ badges, keyrings and other fun accessories Vv) CWA y ~ and mediums. | have an absolute love for a aS Sy old school Y2K styled merch! G hy fi “a =e F My works usually have a recurring theme of ol TENS © P strange and fantasy-like character designs, W &. \ 0 aya complemented with bright and pastel AA Ry i \ = rr | EP De, Y, >»"
