capture_id,app_name,screenshot_path,observed_price_or_trial,paid_flow_label,product_match_label,human_notes,signoff_strength,claim_limit
"PF_03_PF_S03","Carrom Pool: Disc Game","output/paywall_screenshots/08-carrom-pool-disc-game-medium.png","Paid-feature depth could not be cleanly reconstructed from the saved public screenshot.","reviewed_no_clean_plan_depth","partial_parent_brand_page_no_clean_price","Local visual review 2026-05-31: evidence belongs to Miniclip/public web context, not a clean Carrom Pool subscription/IAP page. The screenshot is useful for product context, but not enough for a plan-depth comparison matrix.","reviewed_no_clean_public_price","Do not use as plan-depth proof until app/store or in-app paywall evidence is captured."
"PF_03_PF_S04","Carrom Pool: Disc Game","output/paywall_screenshots/08-carrom-pool-disc-game-medium.png","Human review completed from saved screenshot/OCR; product-match remains conservative because the evidence is public web only.","reviewed_no_clean_product_match_boundary","partial_parent_brand_page_no_clean_price","Local visual review 2026-05-31: evidence belongs to Miniclip/public web context, not a clean Carrom Pool subscription/IAP page.","reviewed_no_clean_public_price","Use only as a weak gaming monetization cue from a parent-brand page; do not use as Carrom Pool pricing proof."
"PF_04_PF_S01","Avatar World ®","output/paywall_screenshots/13-avatar-world-medium.png","Saved Pazu Games page shows Avatar World portfolio context and scale claims, but no visible price or subscription term.","reviewed_no_clean_public_price","partial_same_brand_portfolio_no_clean_price","Local visual review 2026-05-31: evidence is same-brand/portfolio context for Avatar World, but the paywall or IAP list is not visible. No clean public price, trial, or plan term is visible in the saved screenshot/OCR.","reviewed_no_clean_public_price","Use only as avatar-market product context; do not use as Avatar World pricing or paid-depth proof."
"PF_04_PF_S02","Avatar World ®","output/paywall_screenshots/13-avatar-world-medium.png","First meaningful in-app paywall boundary was not inspected in the local screenshot.","reviewed_no_clean_boundary_unknown","partial_same_brand_portfolio_no_clean_price","Local visual review 2026-05-31: evidence is same-brand/portfolio context for Avatar World, but the paywall or IAP list is not visible. The captured public page does not show onboarding order or the first value/paywall boundary.","reviewed_no_clean_public_price","Use only as a weak public paid-surface cue; keep first-value/paywall timing open."
"PF_04_PF_S03","Avatar World ®","output/paywall_screenshots/13-avatar-world-medium.png","Paid-feature depth could not be cleanly reconstructed from the saved public screenshot.","reviewed_no_clean_plan_depth","partial_same_brand_portfolio_no_clean_price","Local visual review 2026-05-31: evidence is same-brand/portfolio context for Avatar World, but the paywall or IAP list is not visible. The screenshot is useful for product context, but not enough for a plan-depth comparison matrix.","reviewed_no_clean_public_price","Do not use as plan-depth proof until app/store or in-app paywall evidence is captured."
"PF_04_PF_S04","Avatar World ®","output/paywall_screenshots/13-avatar-world-medium.png","Human review completed from saved screenshot/OCR; product-match remains conservative because the evidence is public web only.","reviewed_no_clean_product_match_boundary","partial_same_brand_portfolio_no_clean_price","Local visual review 2026-05-31: evidence is same-brand/portfolio context for Avatar World, but the paywall or IAP list is not visible.","reviewed_no_clean_public_price","Use only as avatar-market product context; do not use as Avatar World pricing or paid-depth proof."
"PF_05_PF_S01","AstroSage Kundli: AI Astrology","output/paywall_screenshots/15-astrosage-kundli-ai-astrology-medium.png","Saved AstroSage page shows astrology services and “Buy Brihat Kundli”/buy-now language, but no clean app subscription price.","reviewed_no_clean_public_price","partial_same_brand_service_no_clean_app_price","Local visual review 2026-05-31: evidence shows monetized astrology/service context, not a clean consumer app subscription or IAP screen. No clean public price, trial, or plan term is visible in the saved screenshot/OCR.","reviewed_no_clean_public_price","Use only as astrology monetization context; do not use as app paywall, plan-depth, or WTP proof."
"PF_05_PF_S02","AstroSage Kundli: AI Astrology","output/paywall_screenshots/15-astrosage-kundli-ai-astrology-medium.png","First meaningful in-app paywall boundary was not inspected in the local screenshot.","reviewed_no_clean_boundary_unknown","partial_same_brand_service_no_clean_app_price","Local visual review 2026-05-31: evidence shows monetized astrology/service context, not a clean consumer app subscription or IAP screen. The captured public page does not show onboarding order or the first value/paywall boundary.","reviewed_no_clean_public_price","Use only as a weak public paid-surface cue; keep first-value/paywall timing open."
"PF_05_PF_S03","AstroSage Kundli: AI Astrology","output/paywall_screenshots/15-astrosage-kundli-ai-astrology-medium.png","Paid-feature depth could not be cleanly reconstructed from the saved public screenshot.","reviewed_no_clean_plan_depth","partial_same_brand_service_no_clean_app_price","Local visual review 2026-05-31: evidence shows monetized astrology/service context, not a clean consumer app subscription or IAP screen. The screenshot is useful for product context, but not enough for a plan-depth comparison matrix.","reviewed_no_clean_public_price","Do not use as plan-depth proof until app/store or in-app paywall evidence is captured."
"PF_05_PF_S04","AstroSage Kundli: AI Astrology","output/paywall_screenshots/15-astrosage-kundli-ai-astrology-medium.png","Human review completed from saved screenshot/OCR; product-match remains conservative because the evidence is public web only.","reviewed_no_clean_product_match_boundary","partial_same_brand_service_no_clean_app_price","Local visual review 2026-05-31: evidence shows monetized astrology/service context, not a clean consumer app subscription or IAP screen.","reviewed_no_clean_public_price","Use only as astrology monetization context; do not use as app paywall, plan-depth, or WTP proof."
"PF_07_PF_S01","Everskies: Virtual Dress up","output/paywall_screenshots/21-everskies-virtual-dress-up-medium.png","Saved Everskies page shows logged-out public site context and mentions StarPass/Stars, but no clean price or plan term.","reviewed_no_clean_public_price","partial_same_product_public_page_no_clean_price","Local visual review 2026-05-31: evidence appears product-matched to Everskies, but the saved page is logged-out/public and does not expose pricing. No clean public price, trial, or plan term is visible in the saved screenshot/OCR.","reviewed_no_clean_public_price","Use as weak avatar-economy paid-surface cue; do not use as pricing or conversion proof."
"PF_07_PF_S02","Everskies: Virtual Dress up","output/paywall_screenshots/21-everskies-virtual-dress-up-medium.png","First meaningful in-app paywall boundary was not inspected in the local screenshot.","reviewed_no_clean_boundary_unknown","partial_same_product_public_page_no_clean_price","Local visual review 2026-05-31: evidence appears product-matched to Everskies, but the saved page is logged-out/public and does not expose pricing. The captured public page does not show onboarding order or the first value/paywall boundary.","reviewed_no_clean_public_price","Use only as a weak public paid-surface cue; keep first-value/paywall timing open."
"PF_07_PF_S03","Everskies: Virtual Dress up","output/paywall_screenshots/21-everskies-virtual-dress-up-medium.png","Paid-feature depth could not be cleanly reconstructed from the saved public screenshot.","reviewed_no_clean_plan_depth","partial_same_product_public_page_no_clean_price","Local visual review 2026-05-31: evidence appears product-matched to Everskies, but the saved page is logged-out/public and does not expose pricing. The screenshot is useful for product context, but not enough for a plan-depth comparison matrix.","reviewed_no_clean_public_price","Do not use as plan-depth proof until app/store or in-app paywall evidence is captured."
"PF_07_PF_S04","Everskies: Virtual Dress up","output/paywall_screenshots/21-everskies-virtual-dress-up-medium.png","Human review completed from saved screenshot/OCR; product-match remains conservative because the evidence is public web only.","reviewed_no_clean_product_match_boundary","partial_same_product_public_page_no_clean_price","Local visual review 2026-05-31: evidence appears product-matched to Everskies, but the saved page is logged-out/public and does not expose pricing.","reviewed_no_clean_public_price","Use as weak avatar-economy paid-surface cue; do not use as pricing or conversion proof."
"PF_08_PF_S01","Mindfulness with Petit BamBou","output/paywall_screenshots/25-mindfulness-with-petit-bambou-medium.png","Saved Petit BamBou page shows Subscribe/Login and free-version/account language, but no clean subscription price.","reviewed_no_clean_public_price","partial_same_product_public_page_no_clean_price","Local visual review 2026-05-31: evidence appears product-matched and suggests a subscription surface, but pricing is not visible. No clean public price, trial, or plan term is visible in the saved screenshot/OCR.","reviewed_no_clean_public_price","Use as weak mindfulness paid-surface cue; do not use as pricing, plan-depth, or WTP proof."
"PF_08_PF_S02","Mindfulness with Petit BamBou","output/paywall_screenshots/25-mindfulness-with-petit-bambou-medium.png","First meaningful in-app paywall boundary was not inspected in the local screenshot.","reviewed_no_clean_boundary_unknown","partial_same_product_public_page_no_clean_price","Local visual review 2026-05-31: evidence appears product-matched and suggests a subscription surface, but pricing is not visible. The captured public page does not show onboarding order or the first value/paywall boundary.","reviewed_no_clean_public_price","Use only as a weak public paid-surface cue; keep first-value/paywall timing open."
"PF_08_PF_S03","Mindfulness with Petit BamBou","output/paywall_screenshots/25-mindfulness-with-petit-bambou-medium.png","Paid-feature depth could not be cleanly reconstructed from the saved public screenshot.","reviewed_no_clean_plan_depth","partial_same_product_public_page_no_clean_price","Local visual review 2026-05-31: evidence appears product-matched and suggests a subscription surface, but pricing is not visible. The screenshot is useful for product context, but not enough for a plan-depth comparison matrix.","reviewed_no_clean_public_price","Do not use as plan-depth proof until app/store or in-app paywall evidence is captured."
"PF_08_PF_S04","Mindfulness with Petit BamBou","output/paywall_screenshots/25-mindfulness-with-petit-bambou-medium.png","Human review completed from saved screenshot/OCR; product-match remains conservative because the evidence is public web only.","reviewed_no_clean_product_match_boundary","partial_same_product_public_page_no_clean_price","Local visual review 2026-05-31: evidence appears product-matched and suggests a subscription surface, but pricing is not visible.","reviewed_no_clean_public_price","Use as weak mindfulness paid-surface cue; do not use as pricing, plan-depth, or WTP proof."
