review_rank,record_id,app_name,niche,platform,source_kind,keyword,rating,review_count,pricing_type,feature_tags,audience_tags,pillar_count,whitespace_score,source_url,manual_status,direct_threat_level,has_birthdate_or_spiritual_context,has_daily_action,has_reset_practice,has_avatar_progression,has_visible_progression,pricing_notes,review_notes
"13","CMP-004813","Kokoa AI: Roleplay AI Chat","astrology_esoterics","ios","app_store_search","tarot AI chat","4.41776","608","free","ai|astrology|tarot_or_oracle|avatar_identity|coaching|journaling_mood|gaming_progression|social_community","gen_z_creator_identity|spiritual_seekers|self_improvement_users","5","9","https://apps.apple.com/us/app/kokoa-ai-roleplay-ai-chat/id6755166256?uo=4","pending","","","","","","","",""
"14","CMP-004841","Harem AI - Chat & Talk & Crush","astrology_esoterics","ios","app_store_search","tarot AI chat","4.98449","129","free","ai|astrology|tarot_or_oracle|manifestation_spirituality|photo_video_generation|coaching|habits_streaks|mindfulness|gaming_progression|social_community","gen_z_creator_identity|spiritual_seekers|anxious_stressed_users|self_improvement_users","5","9","https://apps.apple.com/us/app/harem-ai-chat-talk-crush/id6636491359?uo=4","pending","","","","","","","",""
"15","CMP-004844","Spark AI: Chat with Characters","astrology_esoterics","ios","app_store_search","tarot AI chat","4.38462","91","free","ai|astrology|tarot_or_oracle|manifestation_spirituality|avatar_identity|photo_video_generation|coaching|journaling_mood|gaming_progression|social_community","gen_z_creator_identity|spiritual_seekers|self_improvement_users|casual_gamers","5","9","https://apps.apple.com/us/app/spark-ai-chat-with-characters/id6757587521?uo=4","pending","","","","","","","",""
"16","CMP-004891","Pregnancy Tracker 3D by Sprout","astrology_esoterics","ios","app_store_search","birth chart compatibility","4.74894","23429","free","ai|astrology|photo_video_generation|coaching|habits_streaks|journaling_mood|gaming_progression|social_community","gen_z_creator_identity|spiritual_seekers|self_improvement_users","5","9","https://apps.apple.com/us/app/pregnancy-tracker-3d-by-sprout/id441977097?uo=4","pending","","","","","","","",""
"17","CMP-004953","Soulful Navigation","astrology_esoterics","ios","app_store_search","spiritual companion app","5","5","free","ai|astrology|manifestation_spirituality|photo_video_generation|coaching|habits_streaks|mindfulness|gaming_progression|social_community","gen_z_creator_identity|spiritual_seekers|self_improvement_users|casual_gamers","5","9","https://apps.apple.com/us/app/soulful-navigation/id1641577381?uo=4","pending","","","","","","","",""
"18","CMP-004957","Youiee: Come back to YOU","astrology_esoterics","ios","app_store_search","spiritual companion app","4.2","5","free","ai|astrology|manifestation_spirituality|photo_video_generation|coaching|habits_streaks|mindfulness|journaling_mood|gaming_progression|social_community","gen_z_creator_identity|spiritual_seekers|anxious_stressed_users|self_improvement_users","5","9","https://apps.apple.com/us/app/youiee-come-back-to-you/id6740038796?uo=4","pending","","","","","","","",""
"19","CMP-006683","Habit Tracker - AI Planner","avatar_identity","ios","app_store_search","avatar habit tracker","4","6","free","ai|manifestation_spirituality|avatar_identity|coaching|habits_streaks|mindfulness|journaling_mood|gaming_progression|social_community","gen_z_creator_identity|self_improvement_users|casual_gamers","5","9","https://apps.apple.com/us/app/habit-tracker-ai-planner/id6741158668?uo=4","pending","","","","","","","",""
"20","CMP-006689","OtterLife: AI Health Tracker","avatar_identity","ios","app_store_search","avatar habit tracker","4.52798","1108","free","ai|manifestation_spirituality|avatar_identity|photo_video_generation|coaching|habits_streaks|mindfulness|gaming_progression","gen_z_creator_identity|anxious_stressed_users|self_improvement_users","5","9","https://apps.apple.com/us/app/otterlife-ai-health-tracker/id6475028592?uo=4","pending","","","","","","","",""
"21","CMP-006932","Mindvalley: Self Improvement","avatar_identity","ios","app_store_search","personal growth avatar","4.76628","6863","free","ai|manifestation_spirituality|avatar_identity|coaching|habits_streaks|mindfulness|gaming_progression|social_community","gen_z_creator_identity|spiritual_seekers|anxious_stressed_users|self_improvement_users|casual_gamers|coaching_professionals","5","9","https://apps.apple.com/us/app/mindvalley-self-improvement/id1108786610?uo=4","pending","","","","","","","",""
"22","CMP-006953","Cultivate Personal Development","avatar_identity","ios","app_store_search","personal growth avatar","5","4","free","ai|manifestation_spirituality|avatar_identity|coaching|habits_streaks|journaling_mood|gaming_progression|social_community","gen_z_creator_identity|spiritual_seekers|self_improvement_users","5","9","https://apps.apple.com/us/app/cultivate-personal-development/id6482577925?uo=4","pending","","","","","","","",""
"23","CMP-006954","LifeWheel Goal Habit Tracker","avatar_identity","ios","app_store_search","personal growth avatar","4.60938","512","free","ai|manifestation_spirituality|avatar_identity|photo_video_generation|coaching|habits_streaks|mindfulness|journaling_mood|gaming_progression","gen_z_creator_identity|self_improvement_users|casual_gamers|coaching_professionals","5","9","https://apps.apple.com/us/app/lifewheel-goal-habit-tracker/id988402523?uo=4","pending","","","","","","","",""
"24","CMP-007002","Intuitive Life Coaching Oracle","avatar_identity","ios","app_store_search","avatar coaching","4.89126","561","free","tarot_or_oracle|manifestation_spirituality|avatar_identity|photo_video_generation|coaching|habits_streaks|journaling_mood|gaming_progression|social_community","gen_z_creator_identity|casual_gamers","5","9","https://apps.apple.com/us/app/intuitive-life-coaching-oracle/id662136391?uo=4","pending","","","","","","","",""
"25","CMP-007270","InfluAI: Be an influencer","avatar_identity","ios","app_store_search","virtual influencer app","3.65116","43","free","ai|manifestation_spirituality|avatar_identity|coaching|habits_streaks|mindfulness|gaming_progression","gen_z_creator_identity|anxious_stressed_users|self_improvement_users","5","9","https://apps.apple.com/us/app/influai-be-an-influencer/id6740871243?uo=4","pending","","","","","","","",""
"26","CMP-007479","QuitBuddy: Quit Addiction","avatar_identity","ios","app_store_search","digital human app","4.73684","228","free","ai|manifestation_spirituality|avatar_identity|photo_video_generation|coaching|habits_streaks|mindfulness|journaling_mood|gaming_progression|social_community","gen_z_creator_identity|anxious_stressed_users|self_improvement_users|casual_gamers","5","9","https://apps.apple.com/us/app/quitbuddy-quit-addiction/id6746153065?uo=4","pending","","","","","","","",""
"27","CMP-008477","TwinFlame","coaching","ios","app_store_search","personal development","4.71401","1612","free","ai|astrology|manifestation_spirituality|avatar_identity|photo_video_generation|coaching|journaling_mood|gaming_progression|social_community","gen_z_creator_identity|spiritual_seekers|self_improvement_users|casual_gamers","5","9","https://apps.apple.com/us/app/twinflame/id1461412482?uo=4","pending","","","","","","","",""
"28","CMP-008881","Ask Nithyananda AI","coaching","ios","app_store_search","spiritual coach","5","1","free","ai|manifestation_spirituality|avatar_identity|coaching|habits_streaks|mindfulness|gaming_progression","gen_z_creator_identity|spiritual_seekers|anxious_stressed_users|casual_gamers","5","9","https://apps.apple.com/us/app/ask-nithyananda-ai/id6753165996?uo=4","pending","","","","","","","",""
"29","CMP-008980","AI Chatbot - Chat Companion","coaching","ios","app_store_search","AI life companion","4.77778","9","free","ai|astrology|tarot_or_oracle|photo_video_generation|coaching|habits_streaks|mindfulness|gaming_progression|social_community","gen_z_creator_identity|spiritual_seekers|anxious_stressed_users|self_improvement_users|casual_gamers","5","9","https://apps.apple.com/us/app/ai-chatbot-chat-companion/id6449010121?uo=4","pending","","","","","","","",""
"30","CMP-000477","Cozy Mahjong","gaming","ios","app_store_search","cozy games","4.64516","279","free","tarot_or_oracle|photo_video_generation|coaching|habits_streaks|mindfulness|gaming_progression","gen_z_creator_identity|anxious_stressed_users|self_improvement_users|casual_gamers","5","8","https://apps.apple.com/us/app/cozy-mahjong/id6615063639?uo=4","pending","","","","","","","",""
"31","CMP-001224","Vida Health","gaming","ios","app_store_search","wellness game","4.66408","12613","free","tarot_or_oracle|photo_video_generation|coaching|habits_streaks|mindfulness|gaming_progression|social_community","anxious_stressed_users|self_improvement_users","5","8","https://apps.apple.com/us/app/vida-health/id917397071?uo=4","pending","","","","","","","",""
"32","CMP-001237","Lifeline Wellness","gaming","ios","app_store_search","wellness game","5","25","free","ai|manifestation_spirituality|photo_video_generation|coaching|habits_streaks|mindfulness|journaling_mood|gaming_progression|social_community","gen_z_creator_identity|anxious_stressed_users|self_improvement_users","5","8","https://apps.apple.com/us/app/lifeline-wellness/id6741750886?uo=4","pending","","","","","","","",""
"33","CMP-001747","Orakemu - Planner Journal Todo","gaming","ios","app_store_search","gamified self improvement","4.85714","7","free","ai|manifestation_spirituality|photo_video_generation|coaching|habits_streaks|journaling_mood|gaming_progression","gen_z_creator_identity|self_improvement_users|casual_gamers|coaching_professionals","5","8","https://apps.apple.com/us/app/orakemu-planner-journal-todo/id6737979775?uo=4","pending","","","","","","","",""
"34","CMP-001830","OtterLife: AI Health Tracker","gaming","ios","app_store_search","gamified wellness","4.52798","1108","free","ai|manifestation_spirituality|photo_video_generation|coaching|habits_streaks|mindfulness|gaming_progression","gen_z_creator_identity|anxious_stressed_users|self_improvement_users","5","8","https://apps.apple.com/us/app/otterlife-ai-health-tracker/id6475028592?uo=4","pending","","","","","","","",""
"35","CMP-001848","HootieLife: AI Wellness Coach","gaming","ios","app_store_search","gamified wellness","4.66667","12","free","ai|manifestation_spirituality|photo_video_generation|coaching|habits_streaks|mindfulness|journaling_mood|gaming_progression|social_community","gen_z_creator_identity|anxious_stressed_users|casual_gamers","5","8","https://apps.apple.com/us/app/hootielife-ai-wellness-coach/id6744328233?uo=4","pending","","","","","","","",""
"36","CMP-003249","Bodhi: Astrology & Horoscope","astrology_esoterics","ios","app_store_search","astrology","4.21429","14","free","astrology|tarot_or_oracle|photo_video_generation|coaching|habits_streaks|mindfulness|gaming_progression|social_community","gen_z_creator_identity|spiritual_seekers|self_improvement_users|casual_gamers|coaching_professionals","5","8","https://apps.apple.com/us/app/bodhi-astrology-horoscope/id1603849115?uo=4","pending","","","","","","","",""
"37","CMP-003638","Kindara: Fertility Tracker","astrology_esoterics","ios","app_store_search","birth chart","4.70159","10147","free","astrology|photo_video_generation|coaching|habits_streaks|journaling_mood|gaming_progression|social_community","spiritual_seekers|self_improvement_users|casual_gamers","5","8","https://apps.apple.com/us/app/kindara-fertility-tracker/id522674372?uo=4","pending","","","","","","","",""
"38","CMP-004137","Haute Hypnosis - Mind Manifest","astrology_esoterics","ios","app_store_search","manifestation","5","18","free","astrology|manifestation_spirituality|photo_video_generation|coaching|habits_streaks|mindfulness|journaling_mood|gaming_progression","gen_z_creator_identity|spiritual_seekers|anxious_stressed_users|self_improvement_users|coaching_professionals","5","8","https://apps.apple.com/us/app/haute-hypnosis-mind-manifest/id1632227512?uo=4","pending","","","","","","","",""
"39","CMP-004145","Magnetic - Manifestation App","astrology_esoterics","ios","app_store_search","manifestation","5","6","free","astrology|manifestation_spirituality|photo_video_generation|coaching|habits_streaks|mindfulness|journaling_mood|gaming_progression","gen_z_creator_identity|spiritual_seekers|anxious_stressed_users|self_improvement_users|casual_gamers|coaching_professionals","5","8","https://apps.apple.com/us/app/magnetic-manifestation-app/id6758529128?uo=4","pending","","","","","","","",""
"40","CMP-004165","Affirmations - Mood Mantra","astrology_esoterics","ios","app_store_search","manifestation","4.56044","91","free","astrology|manifestation_spirituality|photo_video_generation|coaching|habits_streaks|mindfulness|journaling_mood|gaming_progression|social_community","gen_z_creator_identity|spiritual_seekers|anxious_stressed_users|self_improvement_users","5","8","https://apps.apple.com/us/app/affirmations-mood-mantra/id6449228979?uo=4","pending","","","","","","","",""
"41","CMP-004174","5 Minute Journal・Daily Diary","astrology_esoterics","ios","app_store_search","manifestation","4.75823","17397","free","astrology|manifestation_spirituality|photo_video_generation|coaching|habits_streaks|journaling_mood|gaming_progression|social_community","gen_z_creator_identity|spiritual_seekers|self_improvement_users|casual_gamers","5","8","https://apps.apple.com/us/app/5-minute-journal-daily-diary/id1062945251?uo=4","pending","","","","","","","",""
"42","CMP-004265","Life Guidance and Inspiration","astrology_esoterics","ios","app_store_search","spiritual guidance","4.71795","78","free","astrology|manifestation_spirituality|photo_video_generation|coaching|habits_streaks|journaling_mood|gaming_progression|social_community","gen_z_creator_identity|spiritual_seekers|self_improvement_users|casual_gamers","5","8","https://apps.apple.com/us/app/life-guidance-and-inspiration/id626264311?uo=4","pending","","","","","","","",""
"43","CMP-004296","Intuitive Life Coaching Oracle","astrology_esoterics","ios","app_store_search","spiritual guidance","4.89126","561","free","astrology|tarot_or_oracle|manifestation_spirituality|photo_video_generation|coaching|habits_streaks|journaling_mood|gaming_progression|social_community","spiritual_seekers|casual_gamers","5","8","https://apps.apple.com/us/app/intuitive-life-coaching-oracle/id662136391?uo=4","pending","","","","","","","",""
"44","CMP-004298","Faith Guide: Bible Chat","astrology_esoterics","ios","app_store_search","spiritual guidance","4.94381","356","free","astrology|manifestation_spirituality|photo_video_generation|coaching|habits_streaks|journaling_mood|gaming_progression|social_community","gen_z_creator_identity|spiritual_seekers|self_improvement_users|casual_gamers","5","8","https://apps.apple.com/us/app/faith-guide-bible-chat/id6742163195?uo=4","pending","","","","","","","",""
"45","CMP-004305","Guiding Light Oracle Cards","astrology_esoterics","ios","app_store_search","spiritual guidance","4.85161","155","free","astrology|tarot_or_oracle|manifestation_spirituality|photo_video_generation|coaching|habits_streaks|journaling_mood|gaming_progression|social_community","spiritual_seekers","5","8","https://apps.apple.com/us/app/guiding-light-oracle-cards/id1007296363?uo=4","pending","","","","","","","",""
"46","CMP-004315","Abide365: Spiritual Tracker","astrology_esoterics","ios","app_store_search","spiritual guidance","5","1","free","astrology|manifestation_spirituality|photo_video_generation|coaching|habits_streaks|mindfulness|gaming_progression","gen_z_creator_identity|spiritual_seekers|self_improvement_users","5","8","https://apps.apple.com/us/app/abide365-spiritual-tracker/id6753968868?uo=4","pending","","","","","","","",""
"47","CMP-004329","Mind Power: Guided Meditations","astrology_esoterics","ios","app_store_search","spiritual guidance","4.58696","46","free","astrology|manifestation_spirituality|photo_video_generation|coaching|habits_streaks|mindfulness|gaming_progression","gen_z_creator_identity|spiritual_seekers|anxious_stressed_users|self_improvement_users|casual_gamers","5","8","https://apps.apple.com/us/app/mind-power-guided-meditations/id1645046083?uo=4","pending","","","","","","","",""
"48","CMP-004337","Becoming Whole","astrology_esoterics","ios","app_store_search","spiritual guidance","4.61224","49","free","astrology|manifestation_spirituality|photo_video_generation|coaching|habits_streaks|journaling_mood|gaming_progression|social_community","gen_z_creator_identity|spiritual_seekers|self_improvement_users|casual_gamers","5","8","https://apps.apple.com/us/app/becoming-whole/id6755015035?uo=4","pending","","","","","","","",""
"49","CMP-004520","Daily Burn: Workout Coach","astrology_esoterics","ios","app_store_search","human design","4.75502","14226","free","astrology|photo_video_generation|coaching|habits_streaks|mindfulness|gaming_progression|social_community","gen_z_creator_identity|spiritual_seekers|self_improvement_users|casual_gamers","5","8","https://apps.apple.com/us/app/daily-burn-workout-coach/id472322122?uo=4","pending","","","","","","","",""
"50","CMP-004694","word119: Daily Bible Verse","astrology_esoterics","ios","app_store_search","daily spiritual guidance","0","0","free","astrology|manifestation_spirituality|photo_video_generation|coaching|habits_streaks|journaling_mood|gaming_progression","gen_z_creator_identity|spiritual_seekers|self_improvement_users","5","8","https://apps.apple.com/us/app/word119-daily-bible-verse/id6747212950?uo=4","pending","","","","","","","",""
"51","CMP-004719","Daily Bible Verse - Biblify","astrology_esoterics","ios","app_store_search","daily spiritual guidance","4.78571","588","free","astrology|manifestation_spirituality|photo_video_generation|coaching|habits_streaks|journaling_mood|gaming_progression|social_community","gen_z_creator_identity|spiritual_seekers","5","8","https://apps.apple.com/us/app/daily-bible-verse-biblify/id1372744723?uo=4","pending","","","","","","","",""
"52","CMP-004729","Good Morning Messages & Images","astrology_esoterics","ios","app_store_search","daily spiritual guidance","4.78704","3935","free","astrology|manifestation_spirituality|photo_video_generation|coaching|habits_streaks|mindfulness|journaling_mood|gaming_progression|social_community","gen_z_creator_identity|spiritual_seekers|anxious_stressed_users|self_improvement_users","5","8","https://apps.apple.com/us/app/good-morning-messages-images/id1566133213?uo=4","pending","","","","","","","",""
"53","CMP-004734","Yoga International","astrology_esoterics","ios","app_store_search","daily spiritual guidance","4.63967","5989","free","astrology|manifestation_spirituality|photo_video_generation|coaching|habits_streaks|mindfulness|journaling_mood|gaming_progression|social_community","gen_z_creator_identity|spiritual_seekers|anxious_stressed_users|self_improvement_users|coaching_professionals","5","8","https://apps.apple.com/us/app/yoga-international/id1176695165?uo=4","pending","","","","","","","",""
"54","CMP-004839","PALs by Tavus: AI Companions","astrology_esoterics","ios","app_store_search","tarot AI chat","4.62","50","free","ai|astrology|tarot_or_oracle|manifestation_spirituality|photo_video_generation|coaching|mindfulness|gaming_progression|social_community","gen_z_creator_identity|spiritual_seekers|anxious_stressed_users|self_improvement_users","5","8","https://apps.apple.com/us/app/pals-by-tavus-ai-companions/id6758316493?uo=4","pending","","","","","","","",""
"55","CMP-004932","Unplug: Meditation","astrology_esoterics","ios","app_store_search","spiritual companion app","4.85145","6247","free","astrology|manifestation_spirituality|photo_video_generation|coaching|habits_streaks|mindfulness|journaling_mood|gaming_progression|social_community","gen_z_creator_identity|spiritual_seekers|anxious_stressed_users|self_improvement_users","5","8","https://apps.apple.com/us/app/unplug-meditation/id1188080269?uo=4","pending","","","","","","","",""
"56","CMP-004961","Testimonio","astrology_esoterics","ios","app_store_search","spiritual companion app","5","4","free","astrology|manifestation_spirituality|photo_video_generation|coaching|habits_streaks|mindfulness|journaling_mood|gaming_progression|social_community","gen_z_creator_identity|spiritual_seekers|anxious_stressed_users|self_improvement_users|casual_gamers","5","8","https://apps.apple.com/us/app/testimonio/id1199335009?uo=4","pending","","","","","","","",""
"57","CMP-005043","HOLOSYNC® MEDITATION: BRAINWAVE TRAINING FOR RELAXATION, PROSPERITY, LOVE, HEALTH & SUCCESS","astrology_esoterics","ios","app_store_search","manifestation coach","2.66292","89","free","astrology|manifestation_spirituality|photo_video_generation|coaching|habits_streaks|mindfulness|gaming_progression|social_community","spiritual_seekers|anxious_stressed_users|self_improvement_users","5","8","https://apps.apple.com/us/app/holosync-meditation-brainwave-training-for-relaxation/id732850216?uo=4","pending","","","","","","","",""
"58","CMP-005058","Mani: Law of Assumption","astrology_esoterics","ios","app_store_search","manifestation coach","4","3","free","ai|astrology|manifestation_spirituality|photo_video_generation|coaching|habits_streaks|mindfulness|journaling_mood","gen_z_creator_identity|spiritual_seekers|anxious_stressed_users|coaching_professionals","5","8","https://apps.apple.com/us/app/mani-law-of-assumption/id6757284404?uo=4","pending","","","","","","","",""
"59","CMP-005059","Rift: Reality Shifting","astrology_esoterics","ios","app_store_search","manifestation coach","4.11364","44","free","astrology|manifestation_spirituality|photo_video_generation|coaching|habits_streaks|mindfulness|journaling_mood|gaming_progression|social_community","gen_z_creator_identity|spiritual_seekers|anxious_stressed_users","5","8","https://apps.apple.com/us/app/rift-reality-shifting/id6761221718?uo=4","pending","","","","","","","",""
"60","CMP-005066","MINDTRX: Self Help & Mindset","astrology_esoterics","ios","app_store_search","manifestation coach","4.81651","109","free","astrology|manifestation_spirituality|photo_video_generation|coaching|habits_streaks|mindfulness|gaming_progression","gen_z_creator_identity|spiritual_seekers|anxious_stressed_users|self_improvement_users","5","8","https://apps.apple.com/us/app/mindtrx-self-help-mindset/id1637566468?uo=4","pending","","","","","","","",""
"61","CMP-005074","Saint Clairs App","astrology_esoterics","ios","app_store_search","manifestation coach","0","0","free","astrology|manifestation_spirituality|photo_video_generation|coaching|habits_streaks|mindfulness|gaming_progression|social_community","gen_z_creator_identity|spiritual_seekers|self_improvement_users|casual_gamers","5","8","https://apps.apple.com/us/app/saint-clairs-app/id1599120652?uo=4","pending","","","","","","","",""
"62","CMP-006610","Habit Tracker","avatar_identity","ios","app_store_search","avatar habit tracker","4.79463","141431","free","manifestation_spirituality|avatar_identity|photo_video_generation|coaching|habits_streaks|mindfulness|journaling_mood|gaming_progression|social_community","gen_z_creator_identity|anxious_stressed_users|self_improvement_users|casual_gamers","5","8","https://apps.apple.com/us/app/habit-tracker/id1438388363?uo=4","pending","","","","","","","",""
"63","CMP-006625","EVOLVE: Transform Your Life","avatar_identity","ios","app_store_search","avatar habit tracker","4.73757","1006","free","manifestation_spirituality|avatar_identity|coaching|habits_streaks|mindfulness|journaling_mood|gaming_progression","gen_z_creator_identity|anxious_stressed_users|self_improvement_users|casual_gamers|coaching_professionals","5","8","https://apps.apple.com/us/app/evolve-transform-your-life/id6754897547?uo=4","pending","","","","","","","",""
"64","CMP-006630","Habit Tracker : Haby","avatar_identity","ios","app_store_search","avatar habit tracker","4.7107","757","free","manifestation_spirituality|avatar_identity|coaching|habits_streaks|journaling_mood|gaming_progression","gen_z_creator_identity|self_improvement_users","5","8","https://apps.apple.com/us/app/habit-tracker-haby/id6739170801?uo=4","pending","","","","","","","",""
"65","CMP-006659","Daily Habit List: Goal Tracker","avatar_identity","ios","app_store_search","avatar habit tracker","4.24418","344","free","manifestation_spirituality|avatar_identity|coaching|habits_streaks|mindfulness|journaling_mood|gaming_progression|social_community","gen_z_creator_identity|anxious_stressed_users|self_improvement_users","5","8","https://apps.apple.com/us/app/daily-habit-list-goal-tracker/id1528204230?uo=4","pending","","","","","","","",""
"66","CMP-006672","Habit Tracker - Statz","avatar_identity","ios","app_store_search","avatar habit tracker","4.75676","37","free","manifestation_spirituality|avatar_identity|coaching|habits_streaks|mindfulness|journaling_mood|gaming_progression|social_community","gen_z_creator_identity|anxious_stressed_users|self_improvement_users|casual_gamers","5","8","https://apps.apple.com/us/app/habit-tracker-statz/id6742257400?uo=4","pending","","","","","","","",""
"67","CMP-006715","Pactly: Social Habit Tracker","avatar_identity","ios","app_store_search","avatar habit tracker","4.7","10","free","manifestation_spirituality|avatar_identity|photo_video_generation|coaching|habits_streaks|mindfulness|journaling_mood|gaming_progression|social_community","gen_z_creator_identity|spiritual_seekers|anxious_stressed_users|self_improvement_users|casual_gamers","5","8","https://apps.apple.com/us/app/pactly-social-habit-tracker/id6756091774?uo=4","pending","","","","","","","",""
"68","CMP-006717","Routine Planner: Habit Tracker","avatar_identity","ios","app_store_search","avatar habit tracker","4.80851","47","free","manifestation_spirituality|avatar_identity|coaching|habits_streaks|journaling_mood|gaming_progression","gen_z_creator_identity|self_improvement_users|casual_gamers","5","8","https://apps.apple.com/us/app/routine-planner-habit-tracker/id1668280041?uo=4","pending","","","","","","","",""
"69","CMP-006755","Essence 360","avatar_identity","ios","app_store_search","identity transformation app","3.52","25","free","manifestation_spirituality|avatar_identity|photo_video_generation|coaching|habits_streaks|mindfulness|journaling_mood|gaming_progression|social_community","gen_z_creator_identity|anxious_stressed_users|coaching_professionals","5","8","https://apps.apple.com/us/app/essence-360/id1382387491?uo=4","pending","","","","","","","",""
